Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Todd Sauerbrun,45.5,37.9,3941,105,67,4735,31,7,15,12,7,63,554,0,1
Chris Hanson,44.2,37.6,3044,81,64,3583,27,3,18,10,11,39,339,0,0
Scott Player,43.9,35.4,3117,89,58,3864,28,4,14,10,18,42,547,3,1
Brian Moorman,43.1,36.5,2410,67,84,2844,18,8,9,7,13,29,294,0,1
Tom Rouen,42.9,34.5,1518,46,63,1888,8,2,8,7,2,25,230,0,2
Sean Landeta,42.9,34.6,1801,52,63,2229,19,3,9,7,13,20,288,2,0
Tom Tupa,42.8,35.4,3183,90,71,3856,30,14,17,12,5,42,433,0,0
Shane Lechler,42.5,32.7,1735,53,70,2251,18,7,7,12,9,18,276,0,0
Kevin Stemke,42.4,38.2,191,6,56,212,1,0,0,0,2,3,21,0,1
Brad Maynard,42.3,37.4,3253,87,75,3679,26,10,10,2,19,46,386,0,0
John Jett,42.2,38,3459,91,57,3838,29,2,15,7,14,53,239,0,0
Mitch Berger,41.9,32.7,2357,72,64,3020,26,5,13,10,10,34,463,1,0
Craig Hentrich,41.9,34.4,2235,66,56,2725,28,2,11,5,19,28,390,3,1
Toby Gowin,41.8,36.9,2253,61,59,2553,15,3,5,6,14,33,180,0,0
Chris Mohr,41.8,38.7,2595,67,59,2804,21,4,11,5,24,23,109,0,0
Chris Gardocki,41.8,35.3,2860,81,59,3388,27,7,14,6,12,42,408,1,0
Josh Bidwell,41.7,35.7,2819,79,57,3296,26,2,8,6,22,41,357,1,0
Jeff Feagles,41.7,37,2260,61,58,2542,22,9,12,4,19,17,202,1,0
Dave Zastudil,41.6,34.5,2797,83,61,3368,31,5,17,5,14,40,471,2,2
Chad Stanley,41.4,37.5,4272,116,62,4720,36,1,15,6,34,58,328,0,2
Josh Miller,41.2,33.1,1821,56,62,2267,14,5,6,5,11,28,346,1,1
Matt Turk,41,34.9,2201,63,65,2584,13,7,9,9,5,33,203,0,0
Darren Bennett,40.7,35.1,3051,89,63,3540,31,11,6,6,28,36,369,1,2
Filip Filipovic,40.6,32,2082,66,60,2640,14,5,10,6,12,32,438,0,1
Hunter Smith,40.5,35.4,2336,67,69,2672,26,8,5,9,17,27,156,0,1
Mark Royals,40.2,34.5,2379,69,56,2772,15,12,8,6,4,39,273,0,0
Nick Harris,40.1,31.9,2074,66,57,2608,11,4,12,4,8,37,454,1,1
Bryan Barker,40.1,30,1438,48,63,1924,13,6,7,5,3,27,386,1,0
James Tuthill,40,27.5,110,4,53,160,0,2,0,1,0,1,30,0,0
Micah Knorr,39.9,34.8,2468,71,59,2834,19,3,12,6,18,32,246,0,0
Kyle Richardson,39.9,35.8,2223,63,59,2474,21,3,11,6,21,21,131,0,1
Ken Walter,38.9,33.7,2362,71,55,2723,19,3,16,9,18,24,181,0,1
Jason Baker,38.8,31.5,1734,55,51,2133,14,0,7,4,13,31,319,2,0
Craig Jarrett,38.6,32,640,21,74,771,5,2,5,2,2,9,91,0,1
Dirk Johnson,38.4,34.8,278,8,55,307,1,1,2,0,0,5,29,0,0
Dan Stryzinski,37.8,31.7,2028,65,56,2422,15,9,12,6,10,27,274,0,1
Lee Johnson,37.4,27.7,388,14,53,523,4,1,3,2,2,6,95,0,0
Matt Allen,36.9,32.5,2045,63,65,2326,20,7,11,4,15,26,201,0,0
Bill Lafleur,36.6,32.2,708,23,60,805,5,4,2,1,5,10,77,0,1
Matt Stover,33,33,33,1,33,33,1,0,1,0,0,0,0,0,0
Travis Dorsch,32.4,1.8,9,5,46,162,0,1,1,0,0,3,153,2,0
John Hall,28,28,28,1,28,28,1,0,1,0,0,0,0,0,0
Martin Gramatica,23,23,23,1,23,23,1,0,1,0,0,0,0,0,0
Phil Dawson,18,18,36,2,20,36,2,0,2,0,0,0,0,0,0
Neil Rackers,8.5,6.5,13,2,19,17,1,1,0,0,0,1,4,0,0
