Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Jay Feely,32,40,80,0/0,8/10,12/14,11/13,1/3,0/0,52,2
Martin Gramatica,32,39,82,0/0,7/8,14/15,6/10,5/6,0/0,53,2
John Carney,31,35,88.6,0/0,9/9,11/13,11/12,0/1,0/0,48,0
David Akers,30,34,88.2,0/0,9/9,14/16,6/7,1/2,0/0,51,0
Ryan Longwell,28,34,82.4,1/1,8/9,12/13,7/10,0/1,0/0,49,1
Adam Vinatieri,27,30,90,0/0,6/6,12/12,8/10,1/2,0/0,57,0
Matt Bryant,26,32,81.2,2/2,7/7,14/19,3/4,0/0,0/0,47,1
Jason Elam,26,36,72.2,1/1,9/9,7/9,5/11,4/6,0/0,55,1
Sebastian Janikowski,26,33,78.8,0/0,10/11,7/8,7/12,2/2,0/0,51,2
Mike Hollis,25,33,75.8,0/0,7/8,8/10,7/10,3/5,0/0,54,1
Joe Nedney,25,31,80.6,0/0,9/9,10/12,5/8,1/2,0/0,53,0
John Hall,24,31,77.4,0/0,9/9,9/11,6/10,0/1,0/0,46,4
Olindo Mare,24,31,77.4,0/0,13/14,2/3,7/11,2/3,0/0,53,0
Jose Cortez,23,32,71.9,0/0,11/13,8/9,4/10,0/0,0/0,45,1
Jason Hanson,23,28,82.1,0/0,8/8,8/9,7/8,0/3,0/0,49,0
Rian Lindell,23,29,79.3,1/1,9/9,8/10,4/5,1/4,0/0,52,0
Mike Vanderjagt,23,31,74.2,1/1,7/8,6/7,6/12,3/3,0/0,54,1
Morten Andersen,22,26,84.6,0/0,6/6,10/10,5/9,1/1,0/0,50,0
Phil Dawson,22,28,78.6,0/0,9/10,6/8,5/7,2/3,0/0,52,1
Paul Edinger,22,28,78.6,0/0,4/4,5/6,8/10,5/8,0/0,53,1
Matt Stover,21,25,84,0/0,9/9,4/5,7/10,1/1,0/0,51,0
Jeff Wilkins,19,25,76,0/0,5/5,8/10,6/9,0/1,0/0,47,0
Gary Anderson,18,23,78.3,1/1,8/8,5/5,3/8,1/1,0/0,53,3
Steve Christie,18,26,69.2,0/0,8/8,5/6,4/9,1/3,0/0,53,3
Kris Brown,17,24,70.8,0/1,3/3,1/1,11/14,2/5,0/0,51,2
Jeff Reed,17,19,89.5,0/0,5/5,5/5,6/7,1/2,0/0,50,0
Bill Gramatica,15,21,71.4,0/0,6/7,2/2,6/8,1/4,0/0,50,0
Neil Rackers,15,18,83.3,2/2,5/5,3/3,3/5,2/3,0/0,54,0
Shayne Graham,13,18,72.2,1/1,2/4,2/3,6/8,2/2,0/0,50,1
Billy Cundiff,12,19,63.2,0/0,3/3,5/7,4/8,0/1,0/0,48,0
Todd Peterson,12,21,57.1,1/1,2/3,6/10,3/7,0/0,0/0,46,2
James Tuthill,10,16,62.5,0/0,3/3,4/7,2/5,1/1,0/0,53,2
Jeff Chandler,8,12,66.7,1/1,2/2,1/1,4/7,0/1,0/0,47,0
Tim Seder,8,12,66.7,0/0,4/4,2/3,2/4,0/1,0/0,43,0
Danny Boyd,5,5,100,0/0,3/3,2/2,0/0,0/0,0/0,33,0
Doug Brien,5,6,83.3,0/0,3/3,1/1,1/2,0/0,0/0,42,0
Hayden Epstein,5,9,55.6,0/0,3/3,2/3,0/2,0/1,0/0,34,0
John Kasay,2,5,40,0/0,2/2,0/0,0/2,0/1,0/0,27,1
Brett Conway,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,35,0
Richie Cunningham,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,23,0
Michael Husted,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,38,0
Jon Hilbert,0,2,0,0/0,0/0,0/1,0/1,0/0,0/0,0,0
J.R. Jenkins,0,1,0,0/0,0/0,0/0,0/0,0/1,0/0,0,1
