Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ricky Williams,1853,383,16,7,4,63,89,23.2,7
LaDainian Tomlinson,1683,372,14,12,2,76,90,24.2,2
Priest Holmes,1615,313,21,9,1,56,100,32,1
Clinton Portis,1508,273,15,11,3,59,79,28.9,5
Travis Henry,1438,325,13,10,0,34,72,22.2,11
Deuce McAllister,1388,325,13,10,4,62,65,20,4
Tiki Barber,1387,304,11,12,5,70,67,22,5
Jamal Lewis,1327,308,6,10,1,75,63,20.4,7
Fred Taylor,1314,287,8,8,2,63,47,16.4,2
Corey Dillon,1311,314,7,5,1,67,69,22,5
Michael Bennett,1296,255,5,9,3,85,47,18.4,3
Ahman Green,1240,286,7,7,1,43,54,18.9,3
Shaun Alexander,1175,295,16,10,4,58,61,20.7,2
Eddie George,1165,343,12,1,0,35,61,17.8,1
Curtis Martin,1094,261,7,5,0,35,54,20.7,0
Duce Staley,1029,269,5,4,1,57,56,20.8,3
James Stewart,1021,231,4,9,1,56,46,19.9,0
Edgerrin James,989,277,2,3,0,20,56,20.2,2
Antowain Smith,982,252,6,3,1,42,56,22.2,2
Emmitt Smith,975,254,5,5,0,30,48,18.9,2
Garrison Hearst,972,215,8,6,1,40,53,24.6,3
Charlie Garner,962,182,7,8,0,36,47,25.8,0
Marshall Faulk,953,212,8,5,3,44,51,24.1,2
Warrick Dunn,927,230,7,6,2,59,39,17,3
William Green,887,243,6,4,1,64,38,15.6,3
Marcel Shipp,834,188,6,5,2,56,43,22.9,3
Stephen Davis,820,207,7,3,0,33,47,22.7,4
Mike Vick,777,113,8,10,3,46,44,38.9,5
Amos Zereoue,762,193,4,4,1,42,35,18.1,1
Lamar Smith,737,209,7,3,1,59,32,15.3,1
Anthony Thomas,721,214,6,3,0,34,34,15.9,5
Michael Pittman,718,204,1,1,0,21,36,17.6,3
Kevan Barlow,675,145,4,4,0,35,34,23.4,1
Jerome Bettis,666,187,9,2,1,41,42,22.5,1
Daunte Culpepper,609,106,10,4,0,38,46,43.4,9
Mike Alstott,548,146,5,5,0,32,37,25.3,2
Kenny Watson,534,116,1,2,0,24,32,27.6,0
Jonathan Wells,529,197,3,2,0,37,21,10.7,3
James Allen,519,155,0,1,0,32,20,12.9,1
Thomas Jones,511,138,2,2,1,58,21,15.2,3
T.J. Duckett,507,130,4,1,0,33,28,21.5,0
Jamel White,470,106,3,2,1,54,21,19.8,0
Donovan McNabb,460,63,6,6,1,40,34,54,1
Steve McNair,440,82,3,4,0,26,29,35.4,3
Stacey Mack,436,98,9,6,0,23,38,38.8,0
Ron Dayne,428,125,3,1,0,30,26,20.8,1
Tyrone Wheatley,419,108,2,1,0,36,26,24.1,1
Moe Williams,414,84,11,3,1,44,35,41.7,0
Dorsey Levens,411,75,1,3,1,47,13,17.3,1
Mike Anderson,386,84,2,1,0,32,24,28.6,2
Dee Brown,360,102,4,2,0,24,20,19.6,4
Jeff Garcia,353,73,3,1,0,21,30,41.1,2
James Mungro,336,97,8,3,1,49,22,22.7,2
Leon Johnson,329,103,1,1,0,23,24,23.3,1
Troy Hambrick,317,79,1,0,0,18,16,20.2,1
LaMont Jordan,316,84,3,1,1,61,17,20.2,4
Ladell Betts,307,65,1,4,0,27,13,20,1
Tony Fisher,283,70,2,1,0,28,15,21.4,1
Jake Plummer,283,46,2,3,0,34,21,45.6,7
David Carr,282,59,3,1,0,20,16,27.1,13
Kevin Faulk,271,52,2,2,1,45,8,15.4,0
Aaron Brooks,253,62,2,1,0,21,21,33.9,3
Robert Holcombe,242,47,0,1,0,39,14,29.8,0
Lamar Gordon,228,65,1,2,0,29,11,16.9,2
Trent Green,225,31,1,2,0,24,11,35.5,1
Mark Brunell,207,43,0,2,0,27,11,25.6,2
Matt Hasselbeck,202,40,1,1,0,21,16,40,1
Brian Westbrook,193,46,0,0,0,18,11,23.9,1
Kordell Stewart,191,43,2,2,0,28,13,30.2,3
Nick Goings,188,50,0,1,0,20,10,20,2
Najeh Davenport,184,39,1,1,1,43,8,20.5,1
Travis Minor,180,44,2,1,0,23,10,22.7,0
Aaron Stecker,174,28,0,2,1,59,8,28.6,1
Michael Wiley,168,22,1,1,1,46,7,31.8,0
Rich Gannon,156,50,3,1,0,24,10,20,2
Brandon Bennett,155,33,0,2,0,29,10,30.3,0
Maurice Morris,153,32,0,1,0,24,6,18.8,0
Peyton Manning,148,38,2,0,0,13,11,29,1
Olandis Gary,147,37,1,1,0,26,7,18.9,0
Hines Ward,142,12,0,3,0,39,6,50,0
David Garrard,139,25,2,1,1,41,9,36,1
Cory Schlesinger,139,49,2,0,0,17,6,12.2,2
Antwaan Randle El,134,19,0,1,0,24,10,52.6,0
Drew Brees,130,38,1,0,0,15,10,26.3,0
Brad Hoover,129,31,0,0,0,11,7,22.6,0
Terrell Fletcher,128,26,1,0,0,15,8,30.8,0
Ray Lucas,126,36,2,0,0,17,15,41.7,4
James Thrash,126,18,2,3,0,32,8,44.4,0
Johnnie Morton,124,10,0,2,0,36,5,50,0
Chester Taylor,122,33,0,0,0,17,4,12.1,0
Bob Christian,119,31,3,0,0,16,8,25.8,0
Zack Crockett,118,40,8,1,0,33,23,57.5,0
Mike Cloud,115,49,2,0,0,9,9,18.4,0
Chris Fuamatu-Ma'afala,115,23,0,0,0,17,5,21.7,0
Tom Brady,110,42,1,0,0,15,20,47.6,6
Tim Dwight,108,12,1,2,0,20,5,41.7,1
Aveion Cason,107,26,0,1,1,40,3,11.5,0
Robert Edwards,107,20,1,0,0,19,7,35,0
Brian Griese,107,37,1,0,0,13,11,29.7,1
Jeff Blake,106,39,1,0,0,17,9,23.1,3
Travis Taylor,105,11,0,2,0,39,4,36.4,0
Henry Burris,104,15,0,0,0,17,8,53.3,1
Dennis Northcutt,104,8,1,2,0,36,4,50,0
Adrian Peterson,101,19,1,0,0,14,4,21,0
Jay Fiedler,99,28,3,0,0,12,12,42.9,1
Marc Edwards,96,31,0,0,0,17,11,35.5,0
Mike McMahon,96,14,3,2,0,22,7,50,1
Randy Fasani,95,18,0,0,0,19,6,33.3,0
Mack Strong,94,23,0,0,0,9,10,43.5,0
Quincy Carter,91,27,0,0,0,16,6,22.2,2
Paul Smith,90,18,0,0,0,16,6,33.3,0
Doug Chapman,89,12,0,1,0,27,4,33.3,1
Tony Richardson,81,22,2,0,0,14,6,27.3,1
Terrell Owens,79,7,1,1,0,38,3,42.9,0
Chris Chambers,78,6,0,1,1,45,3,50,0
Tim Couch,77,23,0,0,0,14,9,39.1,2
Derrius Thompson,77,10,0,1,0,26,4,40,0
Danny Wuerffel,76,10,0,1,0,26,4,40,0
Fred Beasley,75,26,0,0,0,9,15,57.7,0
Chad Hutchinson,74,18,0,0,0,18,3,16.7,0
Brett Favre,73,25,0,0,0,17,6,24,4
Rob Johnson,73,14,0,1,0,21,4,28.6,0
Derrick Blaylock,72,16,0,0,0,16,2,12.5,0
Mike Green,71,21,0,0,0,12,3,14.3,0
Donald Driver,70,8,0,0,0,17,4,50,0
Drew Bledsoe,67,27,2,0,0,11,10,37,2
Rudi Johnson,67,17,0,0,0,13,6,35.3,0
Damien Anderson,65,24,0,0,0,14,3,12.5,0
James Fenderson,65,13,1,0,0,17,2,15.4,0
Nicolas Luchey,59,12,2,0,0,10,6,50,0
Eddie Kennison,58,7,0,1,0,31,2,28.6,0
James McKnight,58,7,0,0,0,19,3,42.9,0
Alan Ricard,58,14,2,0,0,19,4,28.6,0
Rafael Cooper,57,12,0,0,0,18,4,33.3,0
Jon Kitna,57,24,4,0,0,12,9,37.5,1
Larry Centers,56,11,2,0,0,13,6,54.6,0
Koren Robinson,56,8,0,1,0,20,3,37.5,0
Terrence Wilkins,56,6,0,0,0,18,2,33.3,0
Dante Hall,54,11,0,1,0,21,4,36.4,0
James Jackson,54,12,0,0,0,18,2,16.7,0
Joel Makovicka,54,5,0,1,0,22,2,40,0
Curtis Conway,53,7,2,1,0,22,3,42.9,0
Heath Evans,53,17,0,0,0,8,4,23.5,1
Verron Haynes,51,10,0,1,0,20,2,20,0
Terry Kirby,51,16,0,0,0,13,5,31.2,1
Randy Moss,51,6,0,1,0,25,3,50,0
Chad Pennington,49,29,2,0,0,14,7,24.1,1
Trung Canidate,48,17,0,1,0,22,2,11.8,1
Santana Moss,48,7,0,0,0,14,3,42.9,0
Tommy Maddox,43,19,0,1,0,21,4,21,3
Antonio Bryant,40,6,0,1,0,24,1,16.7,1
Ashley Lelie,40,4,0,1,0,24,1,25,0
Muhsin Muhammad,40,3,0,1,0,20,2,66.7,0
Laveranues Coles,39,6,0,1,0,21,2,33.3,0
Eddie Drummond,38,4,0,2,0,23,2,50,0
Todd Heap,38,4,0,0,0,15,2,50,0
Rondell Mealey,36,11,1,0,0,18,3,27.3,0
Shawn Bryson,35,13,0,0,0,10,2,15.4,1
Ricky Williams,35,11,0,0,0,10,2,18.2,0
Troy Walters,33,2,0,0,0,17,2,100,0
Kurt Warner,33,8,0,0,0,9,2,25,1
Chris Chandler,32,10,0,0,0,14,4,40,1
Joey Galloway,31,4,0,1,0,21,2,50,0
Shane Matthews,31,12,0,0,0,11,2,16.7,0
Lorenzo Neal,31,9,0,0,0,9,3,33.3,0
Brandon Stokley,31,6,0,0,0,14,1,16.7,1
Robert Thomas,31,10,0,0,0,14,2,20,0
Ernie Conwell,30,6,1,0,0,15,2,33.3,0
Brad Johnson,30,13,0,0,0,6,4,30.8,0
David Boston,29,2,0,1,0,22,1,50,0
Tim Carter,28,3,0,0,0,13,1,33.3,0
John Tait,28,1,0,1,0,28,1,100,0
Richie Anderson,27,5,0,0,0,16,1,20,0
Trent Dilfer,27,10,0,0,0,13,4,40,1
William Henderson,27,7,1,0,0,10,2,28.6,0
Scottie Montgomery,27,4,0,1,0,28,1,25,0
Patrick Pass,27,4,0,0,0,13,1,25,0
Shaun King,25,4,0,0,0,15,1,25,0
Matt Allen,23,3,0,0,0,13,1,33.3,1
Reggie Swinton,23,1,0,1,0,23,1,100,0
Vinny Testaverde,23,2,0,1,0,24,1,50,0
Rock Cartwright,22,3,0,1,0,20,2,66.7,0
Gus Frerotte,22,4,0,0,0,9,0,0,0
Ed McCaffrey,22,2,0,0,0,17,0,0,1
Peter Warrick,22,8,0,0,0,11,1,12.5,1
Troy Edwards,21,3,0,1,0,27,1,33.3,0
Brad Maynard,20,1,0,1,0,20,1,100,0
Josh McCown,20,1,0,1,0,20,1,100,0
Joe Montgomery,20,7,0,0,0,5,0,0,0
Jerry Rice,20,3,0,0,0,12,1,33.3,0
Tim Brown,19,6,0,0,0,9,0,0,0
Jesse Chatman,19,6,0,0,0,11,1,16.7,0
Kevin Kasper,19,3,0,0,0,9,1,33.3,0
Curtis Keaton,19,12,0,0,0,4,0,0,1
Isaac Bruce,18,3,0,0,0,13,2,66.7,0
Torry Holt,18,2,0,0,0,14,1,50,0
