Player,Comb,Asst,Solo,Sck
Zach Thomas,156,55,84,0.5
Brian Urlacher,151,36,96,4.5
London Fletcher,147,50,67,3
Edgerton Hartwell,142,39,77,3
Jay Foreman,141,36,73,0
Keith Brooking,139,29,98,0
Mike Peterson,137,33,68,0
Jamie Sharper,135,40,77,5.5
Al Wilson,131,32,79,5
Michael Green,129,29,76,1
Donnie Edwards,128,28,78,0
Sam Cowart,127,36,71,2
Earl Holmes,127,32,73,0
Eric Barton,125,30,74,6
Keith Bulluck,125,26,80,1
Mike Maslowski,123,31,70,1
Derrick Brooks,117,30,70,1
Adam Archuleta,116,14,85,2.5
Shelton Quarles,113,39,59,1
Derek M. Smith,112,29,59,1
Takeo Spikes,112,32,71,1.5
Nate Wayne,110,42,46,2.5
Micheal Barrow,109,37,46,2.5
Marvin Jones,109,33,53,0
Raynoch Thompson,109,33,56,3
Dexter Coakley,108,24,74,1
Ronald McKinnon,108,41,47,0
Roman Phifer,107,40,40,0.5
Reggie Tongue,105,28,58,0
Sammy Knight,104,24,66,2
Greg Biekert,101,31,51,0
Mark Fields,101,27,69,7.5
Chris Cash,100,13,79,0
Chris Claiborne,100,28,58,4.5
Ian Gold,100,15,65,6.5
John Mobley,100,27,56,1
Rob Morris,100,24,59,3
Jessie Armstead,99,20,72,3
Todd Lyght,99,15,78,0
Roy Williams,99,11,82,2
Ted Johnson,96,34,37,1.5
Darrin Smith,96,33,43,3.5
Coy Wire,96,25,54,3
Kwamie Lassiter,95,31,48,0
Lawyer Milloy,94,29,43,0
Julian Peterson,94,18,53,2
Brock Marion,93,29,50,0
Peter Sirmon,93,21,61,2
LaVar Arrington,92,25,59,11
Shawn Barber,92,22,65,1
Wali Rainer,92,21,56,1
Danny Clark,91,22,63,2
Brian Dawkins,91,29,57,3
Marvcus Patton,91,21,49,2
Bill Romanowski,91,26,51,4
Jeremiah Trotter,91,32,47,0
Shaun Williams,91,25,45,2
Adrian Wilson,91,26,47,1.5
Mike Brown,90,15,62,0
Pierson Prioleau,89,22,54,1
Marcus Robertson,89,22,40,0
Jay Bellamy,88,20,63,1.5
Victor Green,88,23,47,0
Joey Porter,88,28,45,9
Brandon Short,88,25,48,3
Rodney Harrison,86,19,57,2
Mike Minter,86,20,58,1
Lance Schulters,86,13,62,2
Brian Simmons,86,21,57,3
Omar Stoutmire,86,18,57,0
Hardy Nickerson,85,36,34,1.5
Ed Reed,85,14,59,1
Jason Webster,85,14,62,0
Shaunard Harts,84,11,61,2
Matt Stevens,84,23,54,0
William Bartee,83,6,70,0
Corey Chavous,83,17,59,1
Na'il Diggs,83,18,48,3
Reggie Howard,83,8,66,1
Chad Scott,83,17,55,0
Junior Seau,83,24,48,1.5
Pat Williams,83,30,37,0.5
Charlie Clemons,82,24,46,0.5
James Farrior,82,22,38,0
Dhani Jones,82,22,41,0
Eddie Robinson,82,34,32,0
Mike Vrabel,82,24,32,4.5
Rod Woodson,82,12,61,0
Corey Harris,81,21,50,2.5
Napoleon Harris,81,22,42,0.5
Ken Lucas,81,11,56,0
Fred Thomas,81,12,60,1
Jerry Azumah,80,13,63,1
Arturo Freeman,80,17,48,1.5
Mo Lewis,80,14,45,0.5
Ronde Barber,79,12,48,3
Ryan McNeil,79,7,64,0
Gary Baxter,78,9,61,0
Kim Herring,78,10,63,0
Brent Alexander,77,25,42,1
Donovin Darius,77,8,58,1
Alex Molden,77,11,57,2
Marcus Bell,76,12,41,1
Ty Law,76,17,46,1
Derrick Rodgers,76,30,41,0
Kevin Hardy,75,15,54,2
Artrell Hawkins,75,7,65,2
Sedrick Hodge,74,17,39,0
Eric Kelly,74,6,53,0
Levon Kirkland,74,21,47,0
David Barrett,73,16,47,0
Peter Boulware,73,16,44,7
Sam Garnes,73,15,44,0.5
Robert Griffith,73,11,52,0
Lee Flowers,72,21,40,4
Damien Robinson,72,18,46,0
Marcus Coleman,71,12,48,0
Chad Eaton,71,25,26,1
Dexter Jackson,71,15,45,0
Isaiah Kacyvenski,71,20,31,0
Marlon McCree,71,15,51,1
Kenny Mixon,71,26,32,4.5
Tony Parrish,71,9,48,0
Will Witherspoon,71,15,47,1.5
Barrett Green,70,23,40,1
Aaron Smith,70,17,38,5.5
Michael Strahan,70,15,38,11
Eric Brown,69,9,51,0.5
Deltha O'Neal,69,10,53,0
Jason Taylor,69,24,36,18.5
Jeff Ulbrich,69,23,31,1.5
Champ Bailey,68,6,55,0
Scott Fujita,68,7,57,1
Kenoy Kennedy,68,14,48,0
Darren Sharper,68,17,40,0
Aaron Beasley,67,7,42,0
David Gibson,67,22,31,1
Jason Gildon,67,22,32,9
Aaron Glenn,67,11,49,1
Deon Grant,67,14,48,0
Quentin Jammer,67,9,47,0
Ifeanyi Ohalete,67,17,44,1
Ryan Pickett,67,22,41,0.5
Tyrone Williams,67,9,43,1
Akin Ayodele,66,9,46,3
Ronnie Bradford,66,15,41,0
Tedy Bruschi,66,20,28,4.5
Donte Curry,66,17,43,3
Chris Draft,66,14,40,3.5
Greg Ellis,66,17,41,7.5
Derrick Gibson,66,14,42,0
Mike McKenzie,66,18,37,1
Mike Rucker,66,9,44,10
Troy Vincent,66,12,52,0
Nate Clements,65,13,42,0
Jamie Duncan,65,16,38,0
Ken Irvin,65,4,52,0
Brian Kelly,65,8,47,1
Seth Payne,65,11,39,1
Jeff Posey,65,16,39,8
Marcus Washington,65,19,38,2
Rosevelt Colvin,64,9,48,10.5
Bernardo Harris,64,12,39,2
John Lynch,64,23,32,0
David Terrell,64,16,45,0
Denard Walker,64,7,50,0
Eric Warfield,64,8,49,0
Greg Wesley,64,10,48,1
Jason Ferguson,63,21,28,3
Anthony Henry,63,6,50,0
Renaldo Hill,63,4,38,1
Bobbie Howard,63,14,42,0.5
Earl Little,63,19,34,0
Dwayne Rudd,63,12,39,1
Alshermond Singleton,63,20,26,1
John Abraham,62,14,40,10
Marques Anderson,62,20,31,0
Cornell Brown,62,23,27,1.5
Jeff Burris,62,12,47,0
Terry Cousin,62,16,38,1
David Macklin,62,9,43,0
Willie McGinest,62,20,32,5.5
Ahmed Plummer,62,11,42,0
