Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,25,18,43,0
Cowboys,22,14,38,0
Patriots,21,19,43,0
Broncos,20,18,39,0
Steelers,19,12,34,0
Vikings,17,22,39,0
Oilers,16,12,29,0
Rams,16,16,35,0
Raiders,15,28,44,0
Chargers,15,12,27,0
Bengals,14,18,35,0
Browns,14,12,29,0
Lions,13,11,27,0
Colts,13,9,22,0
Eagles,13,14,28,0
Jets,12,20,36,0
Cardinals,12,20,35,0
Bills,11,14,29,0
Giants,11,12,23,0
Redskins,11,22,37,0
Bears,10,8,18,0
Packers,10,5,18,0
Chiefs,10,11,26,0
49ers,10,15,27,0
Saints,9,10,20,0
Falcons,6,4,12,0
