Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,86,53.8,77,19.2,0
Bills,0,0,0,0,85,66.4,118,21.6,0
Bears,0,0,0,0,96,51.9,92,21.2,0
Bengals,0,0,0,0,131,58.5,115,25.8,0
Browns,0,0,0,0,92,51.4,104,22.6,0
Cowboys,0,0,0,0,129,62.6,147,27.1,0
Broncos,0,0,0,0,118,64.1,120,24.7,0
Lions,0,0,0,0,114,52.8,88,22.2,0
Packers,0,0,0,0,108,57.8,87,18,0
Oilers,0,0,0,0,103,50.7,76,18,0
Colts,0,0,0,0,109,49.3,110,24.4,0
Chiefs,0,0,0,0,113,53.6,92,19.6,0
Rams,0,0,0,0,112,66.3,132,23.3,0
Raiders,0,0,0,0,137,73.7,127,22.6,0
Dolphins,0,0,0,0,118,69,134,23.5,0
Vikings,0,0,0,0,136,58.1,114,23.4,0
Patriots,0,0,0,0,113,63.8,123,23.6,0
Saints,0,0,0,0,91,49.2,117,23.3,0
Giants,0,0,0,0,107,51.7,90,20.4,0
Jets,0,0,0,0,119,61.3,96,21.6,0
Eagles,0,0,0,0,141,54.6,79,19,0
Cardinals,0,0,0,0,117,58.2,120,25.8,0
Steelers,0,0,0,0,98,59,136,24.9,0
Chargers,0,0,0,0,117,70.9,113,22.2,0
49ers,0,0,0,0,104,61.2,101,21.2,0
Redskins,0,0,0,0,156,61.4,77,16.4,0
