Team,INT,INT TD,INT Yds,Lng
Dolphins,28,0,311,43
Broncos,27,5,343,79
Lions,25,2,340,101
Buccaneers,25,4,275,37
Ravens,23,1,477,98T
Packers,21,1,315,47
Raiders,21,4,323,50
Jets,21,1,229,43
Saints,20,4,264,46
Giants,20,0,149,40
Rams,19,0,135,23
Eagles,19,2,255,38
Panthers,17,2,199,88
Titans,17,4,285,87
Steelers,17,0,154,33
Seahawks,17,3,300,84
Redskins,17,0,219,48
Bills,16,1,131,45T
Cowboys,16,0,167,46
Chargers,16,4,313,75
Falcons,15,1,287,60
Chiefs,15,2,198,42
Colts,14,2,125,40
49ers,13,2,278,70
Browns,12,1,68,33T
Jaguars,12,0,145,39
Bears,11,4,254,61
Patriots,10,0,161,56
Cardinals,10,0,151,48
Bengals,9,1,107,36T
Vikings,8,0,65,25
