Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Bears,674,2974,4.4,22,20,2,72,164,24.3,11
Redskins,588,2274,3.9,20,7,0,31,155,26.4,25
Steelers,574,2179,3.8,13,8,1,52,116,20.2,20
Rams,541,2864,5.3,16,21,4,66,140,25.9,19
Bengals,540,2179,4,18,9,0,33T,134,24.8,11
49ers,534,2465,4.6,21,16,2,47,137,25.7,19
Saints,523,2171,4.2,9,9,1,62T,129,24.7,12
Raiders,516,1886,3.7,19,5,2,52,114,22.1,21
Colts,510,2025,4,13,10,0,31T,118,23.1,13
Broncos,508,2076,4.1,12,7,1,52,121,23.8,14
Jets,504,2189,4.3,17,8,3,64,118,23.4,13
Seahawks,495,1645,3.3,10,3,1,40,93,18.8,11
Giants,493,1660,3.4,12,6,0,28,97,19.7,8
Falcons,489,1994,4.1,16,4,1,57T,123,25.2,17
Browns,489,1696,3.5,10,4,1,54,92,18.8,11
Cardinals,488,2088,4.3,21,8,0,39,128,26.2,9
Dolphins,484,1918,4,18,7,0,35,118,24.4,14
Buccaneers,483,1776,3.7,17,5,0,37,113,23.4,19
Patriots,482,2032,4.2,15,9,2,73,104,21.6,17
Cowboys,469,1714,3.6,12,6,0,31T,93,19.8,21
Packers,461,2019,4.4,18,12,4,50,120,26,8
Chargers,456,1654,3.6,18,4,0,32T,106,23.2,10
Lions,446,2017,4.5,13,11,3,81,117,26.2,13
Vikings,444,1844,4.2,10,6,0,39T,112,25.2,22
Oilers,433,1656,3.8,13,6,1,51T,96,22.2,21
Chiefs,408,1527,3.7,12,7,1,69,90,22.1,14
Bills,398,1643,4.1,9,8,1,85T,97,24.4,11
Eagles,381,1338,3.5,6,2,0,27,85,22.3,10
