Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Andrew Beck,47,2,94,1,1,1,85,0,0
Damien Harris,41,1,41,0,1,1,41,0,0
Dameon Pierce,34.8,5,174,1,3,1,98,0,0
Britain Covey,30,1,30,0,1,0,30,0,0
KaVontae Turpin,29.2,9,263,0,7,2,63,0,0
Byron Pringle,29,6,174,0,5,1,40,0,1
D'Wayne Eskridge,28,8,224,0,7,1,66,0,0
Raheem Blackshear,27.9,14,391,0,11,2,52,0,0
Laviska Shenault Jr.,27.8,6,167,0,6,0,37,0,1
Anthony McFarland,27.3,6,164,0,5,0,37,1,0
Velus Jones Jr.,26.8,10,268,0,9,0,37,0,0
Craig Reynolds,26.8,4,107,0,4,0,31,0,1
Keisean Nixon,26.4,28,738,0,24,2,51,0,0
Marvin Mims Jr.,26.3,13,342,1,9,1,99,2,1
Jamal Agnew,26.1,15,391,0,12,1,53,0,0
Tylan Wallace,26,1,26,0,1,0,26,0,0
Deebo Samuel,25.7,6,154,0,4,0,34,0,0
DeeJay Dallas,25.6,14,358,0,14,0,34,0,0
Parker Washington,25.5,2,51,0,1,0,33,0,0
Isaiah McKenzie,25.3,6,152,0,3,1,42,5,0
Godwin Igwebuike,25.1,9,226,0,6,0,36,1,0
Andy Isabella,25,1,25,0,1,0,25,0,0
Pierre Strong,25,8,200,0,6,0,36,1,0
Braxton Berrios,24.5,15,367,0,14,0,33,0,0
Ty Montgomery,24.3,9,219,0,7,1,43,0,0
Antonio Gibson,24.3,14,340,0,10,0,37,0,0
Ty Chandler,24.2,4,97,0,3,0,33,0,0
Trayveon Williams,24.2,12,290,0,9,2,46,0,0
Parris Campbell,23.9,8,191,0,6,0,36,0,0
Steven Sims,23.7,3,71,0,3,0,29,0,0
DeAndre Carter,23.6,10,236,0,8,1,40,0,0
Richie James,23.4,7,164,0,5,0,31,6,0
Kene Nwangwu,23.3,7,163,0,4,0,38,1,0
Xavier Gipson,22.9,17,390,0,12,0,30,1,1
Chris Evans,22.5,2,45,0,1,0,27,0,0
Ray-Ray McCloud,22.5,10,225,0,6,0,34,0,0
Devin Singletary,22.5,4,90,0,2,0,35,0,0
Chris Moore,22.2,4,89,0,3,0,26,6,0
Desmond King,22.2,5,111,0,4,0,27,0,0
Andre Baccellia,22,1,22,0,1,0,22,0,0
Tank Dell,22,2,44,0,2,0,23,1,0
Mohamed Ibrahim,22,1,22,0,1,0,22,0,0
Bam Knight,22,1,22,0,1,0,22,0,0
Boston Scott,22,6,132,0,3,0,38,3,1
Cordarrelle Patterson,21.9,7,153,0,5,0,29,0,0
Tyler Scott,21.6,5,108,0,3,0,33,1,0
Jalen Reagor,21.5,4,86,0,3,1,40,0,0
Rashid Shaheed,21.4,16,343,0,9,0,28,1,1
Lynn Bowden,21.3,3,64,0,1,0,28,0,0
Jaelon Darden,21,2,42,0,1,0,23,0,0
Daniel Thomas,21,1,21,0,1,0,21,0,0
Tyjae Spears,20.8,13,270,0,8,0,33,6,0
Greg Dortch,20.7,13,269,0,6,1,40,0,0
Deven Thompkins,20.4,16,327,0,7,0,32,5,0
Derius Davis,20.3,15,305,0,11,0,27,1,0
Khalil Dorsey,20.3,12,244,0,4,0,30,0,0
D'Shawn Jamison,20,2,40,0,1,0,22,0,0
Jerick McKinnon,20,1,20,0,1,0,20,0,0
Demarcus Robinson,20,1,20,0,1,0,20,0,0
Montrell Washington,20,1,20,0,1,0,20,0,0
Ty Johnson,19.8,6,119,0,4,0,24,0,0
Khalil Shakir,19.6,5,98,0,2,0,27,4,0
Devin Duvernay,19.3,9,174,0,5,0,28,4,0
Israel Abanikanda,19,1,19,0,0,0,19,0,0
Dallis Flowers,19,1,19,0,0,0,19,2,0
Kenneth Gainwell,19,1,19,0,0,0,19,2,0
Justice Hill,18,1,18,0,0,0,18,0,0
Taysom Hill,18,1,18,0,0,0,18,0,0
Kyle Juszczyk,18,1,18,0,0,0,18,0,0
D'Ernest Johnson,17.3,6,104,0,3,0,22,0,0
Devon Allen,17,1,17,0,0,0,17,0,0
Leonard Fournette,17,1,17,0,0,0,17,0,0
Austin Trammell,16.8,6,101,0,3,0,36,6,0
Mike Boone,16.5,4,66,0,1,0,25,0,0
Joshua Kelley,16,1,16,0,0,0,16,0,0
Colby Parkinson,16,1,16,0,0,0,16,0,0
Ronnie Rivers,16,1,16,0,0,0,16,2,0
Mike Hughes,15.3,3,46,0,0,0,19,0,0
Eric Gray,14.5,4,58,0,1,0,20,1,0
Rico Dowdle,14.3,6,86,0,2,0,31,0,0
Mecole Hardman,14,1,14,0,0,0,14,0,0
Scott Miller,14,1,14,0,0,0,14,0,0
Kyle Philips,13,1,13,0,0,0,13,0,0
Jordan Mason,12,1,12,0,0,0,12,0,0
Gunner Olszewski,12,2,24,0,1,0,24,2,0
Myles Bryant,11,1,11,0,0,0,11,0,0
Quez Watkins,11,1,11,0,0,0,11,0,0
John Bates,10,1,10,0,0,0,10,0,0
Keith Smith,10,1,10,0,0,0,10,0,0
Trenton Irwin,8,1,8,0,0,0,8,0,0
Kyren Williams,8,1,8,0,0,0,8,1,0
Hunter Luepke,7.5,2,15,0,0,0,15,0,0
Deonte Harty,7,1,7,0,0,0,7,0,0
George Pickens,7,1,7,0,0,0,7,0,0
Olamide Zaccheaus,7,1,7,0,0,0,7,3,0
Dee Alford,6.5,2,13,0,0,0,8,0,0
Malik Heath,1,1,1,0,0,0,1,0,0
Chris Manhertz,1,1,1,0,0,0,1,0,0
Ronnie Bell,0,1,0,0,0,0,0,0,0
Lawrence Cager,0,1,0,0,0,0,0,0,0
Roschon Johnson,0,1,0,0,0,0,0,1,0
Cole Kmet,0,1,0,0,0,0,0,0,0
