Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Cowboys,27,35,77.1,1_1,11_11,9_8,12_7,0_0,0_0,47,0
Chiefs,26,36,72.2,0_0,5_5,15_13,9_7,0_0,0_0,52,0
Lions,25,35,71.4,1_1,5_5,14_9,11_7,0_0,0_0,53,0
Jets,25,36,69.4,0_0,13_11,8_6,12_8,0_0,0_0,49,1
Dolphins,24,31,77.4,0_0,9_9,12_11,10_4,0_0,0_0,46,0
Giants,24,38,63.2,1_1,9_7,9_7,11_6,0_0,0_0,55,0
Bengals,22,32,68.8,0_0,11_9,9_7,11_5,0_0,0_0,51,1
Packers,22,24,91.7,2_2,8_7,9_9,3_2,0_0,0_0,53,0
Falcons,21,33,63.6,2_1,7_7,12_8,11_5,0_0,0_0,47,0
Vikings,21,25,84,1_1,6_5,12_11,6_4,0_0,0_0,45,0
Eagles,20,31,64.5,0_0,5_5,9_7,13_7,0_0,0_0,50,0
Cardinals,19,32,59.4,2_2,8_8,6_4,11_5,0_0,0_0,47,0
Chargers,19,26,73.1,2_2,7_7,8_5,4_3,0_0,0_0,52,0
49ers,19,29,65.5,2_2,9_7,8_4,10_6,0_0,0_0,48,3
Redskins,19,30,63.3,1_1,8_7,8_6,12_5,0_0,0_0,49,1
Browns,17,33,51.5,3_3,8_7,15_7,3_0,0_0,0_0,39,4
Broncos,17,30,56.7,0_0,9_6,11_5,8_6,0_0,0_0,49,4
Rams,17,26,65.4,0_0,9_6,6_5,11_6,0_0,0_0,44,2
Buccaneers,17,28,60.7,0_0,7_5,6_4,13_6,0_0,0_0,51,2
Oilers,15,22,68.2,0_0,4_3,4_4,13_7,0_0,0_0,50,1
Patriots,15,24,62.5,0_0,7_7,6_2,7_5,0_0,0_0,50,1
Seahawks,15,24,62.5,0_0,9_9,4_3,9_2,0_0,0_0,54,1
Bills,14,24,58.3,0_0,6_4,7_5,10_5,0_0,0_0,46,0
Raiders,14,24,58.3,0_0,8_6,4_2,7_3,0_0,0_0,51,0
Saints,13,25,52,0_0,5_5,9_3,10_5,0_0,0_0,46,3
Bears,12,23,52.2,1_0,10_7,5_3,7_2,0_0,0_0,43,1
Steelers,12,17,70.6,3_3,6_5,2_1,5_3,0_0,0_0,48,0
Colts,10,18,55.6,2_2,3_2,5_3,7_3,0_0,0_0,48,1
