Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Rams,13.8,49,676,3,7,4,84T,8,3
Chargers,12.2,31,378,0,7,1,42,10,3
Bears,11.5,45,518,1,5,2,88T,24,2
Chiefs,10.6,50,528,0,6,1,62,7,2
Cardinals,10.5,43,453,1,3,2,50T,2,3
Saints,10.4,41,426,0,4,0,36,7,3
Redskins,10.4,49,507,2,4,3,75T,4,3
Dolphins,10.2,45,458,1,4,1,87T,17,1
Seahawks,9.2,32,293,0,4,0,34,6,2
Broncos,8.6,51,441,0,4,0,39,5,3
Lions,8.6,52,450,1,4,1,45T,9,3
Bills,8.3,35,292,0,2,0,25,7,0
Steelers,8.2,50,412,0,3,0,33,9,2
Oilers,7.9,41,325,0,5,1,40,4,0
Giants,7.8,64,502,0,4,1,55,5,3
Vikings,7.8,39,303,0,0,0,18,10,3
Falcons,7.7,50,383,0,4,1,53,19,2
Packers,7.6,40,306,1,1,1,94T,10,2
Browns,7.4,50,369,0,2,1,40,6,5
Raiders,7.3,52,380,1,3,1,52T,16,8
Eagles,7.3,58,422,0,3,1,52,8,4
49ers,7.2,48,344,0,1,0,39,10,4
Bengals,7.1,29,205,0,1,0,34,19,2
Jets,6.7,50,337,0,2,1,46,13,7
Patriots,6.4,31,199,0,2,0,26,7,3
Buccaneers,6.4,38,244,0,1,1,56,3,2
Cowboys,5.2,45,235,0,0,0,17,5,2
Colts,4.7,12,56,0,0,0,11,7,3
