Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Chargers,96,5412,6,6.2,88,17.4,0,0,0,0
Falcons,90,5442,20,22.2,68,19.1,0,2,0,0
Bengals,87,4889,6,6.9,80,20.2,0,0,0,1
Lions,84,4911,13,15.5,70,18,0,0,0,0
Cowboys,83,5018,12,14.5,71,21.2,0,0,0,0
Jets,83,5141,19,22.9,63,22.5,0,0,0,0
Dolphins,80,4863,18,22.5,60,20.6,0,0,0,0
Eagles,80,4917,19,23.8,60,22.2,0,0,0,0
Chiefs,79,4761,10,12.7,68,18.9,0,0,0,0
Redskins,76,4162,4,5.3,69,18.5,0,0,0,0
Packers,75,4193,5,6.7,70,16.9,0,0,0,0
Steelers,75,4655,22,29.3,51,24.1,0,0,0,0
49ers,75,4308,8,10.7,67,20.7,0,0,0,0
Patriots,73,4111,4,5.5,67,19.5,0,0,0,0
Buccaneers,73,4350,9,12.3,63,20.8,0,0,0,0
Giants,72,4303,21,29.2,49,19,0,0,0,0
Cardinals,72,4413,16,22.2,55,21.2,0,0,0,0
Seahawks,72,3977,2,2.8,67,17.6,0,0,0,0
Broncos,71,4319,22,31,47,21.4,0,1,0,0
Rams,70,4252,10,14.3,60,24,0,0,0,2
Vikings,70,3688,3,4.3,62,20.3,0,1,0,0
Bills,67,3829,5,7.5,61,20.8,0,1,0,1
Browns,66,3981,19,28.8,45,25.7,0,1,0,0
Oilers,66,3582,3,4.6,59,20.4,0,0,0,0
Raiders,61,3710,12,19.7,49,21.8,0,0,0,1
Colts,59,3453,16,27.1,42,20.2,0,0,0,0
Bears,58,3371,13,22.4,44,21.3,0,0,0,0
Saints,53,2990,1,1.9,49,19.3,0,0,0,0
