Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Cowboys,27,77.1,40,100,0,0
Chiefs,26,72.2,37,97.4,0,0
Lions,25,71.4,46,100,0,1
Jets,25,69.4,38,97.4,0,0
Dolphins,24,77.4,37,97.4,1,1
Giants,24,63.2,31,100,0,0
Bengals,22,68.8,49,96.1,0,0
Packers,22,91.7,35,97.2,0,1
Falcons,21,63.6,51,100,0,0
Vikings,21,84,34,91.9,1,0
Eagles,20,64.5,41,95.4,0,0
Cardinals,19,59.4,36,97.3,0,1
Chargers,19,73.1,55,90.2,0,0
49ers,19,65.5,42,100,1,0
Redskins,19,63.3,38,90.5,0,2
Browns,17,51.5,31,96.9,0,0
Broncos,17,56.7,36,97.3,0,0
Rams,17,65.4,36,100,0,3
Buccaneers,17,60.7,36,94.7,0,0
Oilers,15,68.2,32,94.1,2,0
Patriots,15,62.5,37,94.9,0,0
Seahawks,15,62.5,37,92.5,0,0
Bills,14,58.3,37,100,0,0
Raiders,14,58.3,27,81.8,0,1
Saints,13,52,24,100,0,0
Bears,12,52.2,29,93.6,0,1
Steelers,12,70.6,38,82.6,0,0
Colts,10,55.6,29,87.9,0,0
