Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Redskins,25,67,1673,0,48,6,84,0,2
Oilers,23.9,72,1722,2,36,8,96,0,1
Falcons,22.9,62,1419,0,44,3,52,0,3
Dolphins,22.7,54,1228,1,37,3,90T,0,4
Saints,21.8,70,1523,0,41,3,57,0,3
Cardinals,21.7,75,1625,0,50,3,67,0,1
Bengals,21.6,49,1056,0,27,3,78,1,2
Browns,21.4,72,1537,0,47,1,48,0,4
Steelers,20.7,53,1096,0,34,0,35,0,0
Chargers,20.3,70,1422,0,36,1,47,0,4
49ers,20.2,45,909,1,27,1,92T,0,4
Chiefs,20.1,52,1043,0,29,3,48,0,2
Raiders,19.9,71,1411,0,39,2,47,0,5
Jets,19.8,58,1151,0,32,1,42,0,3
Buccaneers,19.8,46,912,0,23,1,40,0,1
Vikings,19.8,67,1328,1,28,4,99T,0,6
Colts,19.6,84,1651,0,41,2,46,0,4
Giants,19.6,57,1120,0,29,1,41,1,3
Eagles,19.4,43,832,0,19,2,43,0,2
Lions,19.1,61,1164,0,27,0,36,0,1
Bills,19,57,1085,0,24,0,36,0,2
Bears,19,64,1214,0,27,3,56,0,2
Seahawks,18.5,69,1278,0,32,0,36,0,7
Cowboys,18.5,53,981,0,23,0,33,0,3
Packers,18.4,58,1066,0,25,1,52,0,2
Patriots,18.3,65,1190,0,33,0,32,0,1
Rams,18.3,68,1244,0,29,2,50,0,2
Broncos,17,47,801,0,21,0,31,0,0
