Player,FF,FR,FR TD
Raymond Clayborn,0,0,0
Carl Eller,0,0,0
Doug English,0,1,0
Tony Greene,0,0,0
Ken Kennard,0,0,0
Doug Nettles,0,0,0
Jerry Sherk,0,1,0
James Young,0,0,0
