Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Chris Bahr,44,47.5,95,2,45,88,2,1,0,0,0,1,-7,0,0
Ray Guy,43.2,34.8,2055,59,74,2552,11,10,3,14,1,31,217,0,0
Tom Blanchard,42.4,32.3,2650,84,66,3474,11,6,6,11,8,51,604,2,2
Pat McInally,41.8,36.9,2475,68,67,2802,16,11,10,3,6,37,267,0,1
John James,41.4,34,3570,105,61,4349,19,15,14,13,5,58,519,0,0
Bob Parsons,40.4,36,2876,82,58,3232,17,5,11,7,15,42,216,0,2
Dave Green,40.3,34.3,3359,99,70,3948,16,5,10,6,6,71,469,0,1
Dave Jennings,39.9,32.3,3233,100,58,3993,19,11,14,4,4,67,680,0,0
David Beverly,39.9,34.1,2900,86,59,3391,16,11,8,9,4,53,311,0,1
Jerrel Wilson,39.9,30.8,2707,89,59,3510,11,6,13,5,14,50,703,0,1
Marv Bateman,39.9,29.9,2425,83,75,3229,14,17,9,10,3,42,604,0,2
Neil Clabo,39.8,31.3,2595,83,69,3302,19,15,12,10,4,42,507,1,0
Danny White,39.6,33.6,2691,81,57,3171,25,20,6,10,8,36,280,1,1
Herman Weaver,39.5,32.4,1877,59,59,2293,10,3,10,4,2,39,336,0,1
Cliff Parsley,39.4,32.6,2510,79,55,3030,12,7,8,9,7,46,340,0,2
Bucky Dilts,39.2,33.6,3028,90,63,3525,19,7,13,5,10,55,397,0,0
Mitch Hoopes,39.2,22.8,137,7,48,235,0,1,0,1,0,4,78,1,1
Greg Coleman,39.2,29.4,1791,61,58,2389,23,18,9,2,1,31,558,3,0
Terry Joyce,38.7,35.3,777,23,58,851,5,1,6,2,4,9,34,0,1
Mike Bragg,38.5,35.1,3194,91,56,3502,29,13,17,4,7,50,228,0,0
David Lee,38.3,30.3,2481,84,59,3142,19,14,10,9,5,44,481,1,2
Mike Michel,38.2,32.5,1136,35,61,1338,9,1,7,0,5,22,202,0,0
Norris Weese,38,38,38,1,38,38,0,0,1,0,0,0,0,0,0
Jeff West,37.6,31.5,2269,73,59,2707,10,17,6,3,6,40,378,0,1
Spike Jones,37.2,33.5,3119,95,68,3463,22,12,17,5,14,45,244,0,2
Chuck Ramsey,37.1,29.6,1837,62,61,2298,8,3,13,8,3,35,301,0,0
Bobby Walden,37,29.9,2002,68,65,2482,13,13,5,5,11,33,380,1,1
Wilbur Summers,36.8,30.8,2863,94,51,3420,6,10,4,5,16,58,457,0,1
Duane Carrell,36.7,30.9,1944,63,56,2314,13,3,11,5,9,35,270,0,0
Larry Seiple,36.4,32.6,716,23,54,801,5,4,4,1,6,7,65,0,1
Tom Wittum,36.4,29.6,2277,80,54,2801,10,9,11,4,6,47,444,0,3
Mike Patrick,36.2,30.2,1964,68,64,2354,14,8,12,6,6,33,270,0,3
Glen Walker,35.2,31.4,2292,73,56,2568,11,11,10,8,15,29,116,0,0
Rick Engles,34,28.1,253,10,48,306,1,3,1,0,1,4,53,0,1
Bobby Scott,31.7,31.7,95,3,34,95,0,0,2,0,1,0,0,0,0
Don Cockroft,30,10,10,1,30,30,0,0,0,1,0,0,0,0,0
Nick Mike-Mayer,23,23,23,1,23,23,1,0,1,0,0,0,0,0,0
Efren Herrera,22,22,44,2,28,44,2,2,0,0,0,0,0,0,0
