Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Mark Moseley,21,37,56.8,1/1,3/3,4/5,9/22,0/0,0/0,54,2
Errol Mann,20,28,71.4,1/1,7/8,7/10,5/8,0/0,0/0,42,1
Chris Bahr,19,27,70.4,1/1,10/11,4/8,4/6,0/0,0/0,47,0
Efren Herrera,18,29,62.1,2/2,5/7,4/8,6/11,0/0,0/0,52,2
Rafael Septien,18,30,60,1/1,10/11,5/6,2/10,0/0,0/0,45,0
Rolf Benirschke,17,23,73.9,0/0,5/5,6/9,6/8,0/0,0/0,47,3
Don Cockroft,17,23,73.9,0/0,6/6,6/8,5/9,0/0,0/0,44,1
Toni Linhart,17,26,65.4,0/0,5/8,5/7,7/10,0/0,0/0,45,1
Pat Leahy,15,25,60,0/1,7/8,6/8,2/6,0/0,0/0,48,5
John Smith,15,21,71.4,1/1,5/6,8/10,1/4,0/0,0/0,44,2
Joe Danelo,14,23,60.9,1/1,7/8,3/5,2/6,0/0,0/0,51,1
Bob Thomas,14,27,51.8,0/0,6/9,6/10,2/6,0/0,0/0,47,1
Chester Marcol,13,21,61.9,2/2,2/3,4/8,5/6,0/0,0/0,44,0
Jim Turner,13,19,68.4,0/0,3/4,7/10,3/5,0/0,0/0,48,0
Toni Fritsch,12,16,75,1/1,5/6,5/6,1/2,0/0,0/0,46,0
Nick Mike-Mayer,10,22,45.4,0/0,4/5,4/9,2/7,0/0,0/0,44,2
Ray Wersching,10,17,58.8,0/0,0/2,5/5,4/7,0/0,0/0,50,1
Garo Yepremian,10,22,45.4,0/0,3/4,5/7,2/9,0/0,0/0,48,2
Roy Gerela,9,14,64.3,0/0,4/5,2/2,3/6,0/0,0/0,49,0
John Leypoldt,9,18,50,1/2,2/3,2/4,3/4,0/0,0/0,51,2
Fred Cox,8,17,47.1,0/0,3/7,4/6,1/4,0/0,0/0,42,1
Steve Mike-Mayer,8,19,42.1,0/0,2/5,3/7,3/7,0/0,0/0,47,1
Jan Stenerud,8,18,44.4,0/0,6/6,2/5,0/5,0/0,0/0,37,1
Jim Bakken,7,16,43.8,0/0,2/2,3/5,2/8,0/0,0/0,49,3
Carson Long,7,11,63.6,0/0,2/2,2/3,3/6,0/0,0/0,45,1
Fred Steinfort,6,11,54.6,0/0,3/3,2/4,1/3,0/0,0/0,40,0
Allan Leavitt,5,10,50,1/1,2/3,1/2,1/3,0/0,0/0,40,0
Richie Szaro,5,12,41.7,0/0,3/4,2/3,0/2,0/0,0/0,31,0
Tom Dempsey,4,6,66.7,0/0,3/3,1/2,0/1,0/0,0/0,37,2
Dave Green,4,7,57.1,0/0,3/3,0/2,1/2,0/0,0/0,40,0
Horst Muhlmann,3,8,37.5,0/0,1/1,1/5,1/2,0/0,0/0,44,2
Neil O'Donoghue,2,6,33.3,0/0,1/2,1/2,0/1,0/0,0/0,30,0
Ove Johansson,1,4,25,0/1,0/0,1/3,0/0,0/0,0/0,32,1
Tom Wittum,1,2,50,0/0,1/2,0/0,0/0,0/0,0/0,28,0
Skip Butler,0,3,0,0/0,0/1,0/0,0/2,0/0,0/0,0,0
Mike Michel,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Dan Pastorini,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
