Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Tony Leonard,68,1,68,0,0,0,68,0,0
Walter Payton,47.5,2,95,0,0,0,68,0,0
Terdell Middleton,35.2,4,141,1,0,0,85,0,0
Jimmy Stewart,33,1,33,0,0,0,33,0,0
Raymond Clayborn,31,28,869,3,0,0,101,0,0
Eddie Foster,31,1,31,0,0,0,31,0,0
Dave Williams,30.5,4,122,1,0,0,80,0,0
Doug Dennison,30,1,30,0,0,0,30,0,0
Loaird McCreary,30,1,30,0,0,0,30,0,0
Gary Davis,29.6,14,414,0,0,0,73,0,0
Freddie Solomon,27.3,10,273,1,0,0,90,0,0
Don Woods,27,1,27,0,0,0,27,0,0
Wilbert Montgomery,26.9,23,619,1,0,0,99,0,0
Jerry Latin,26.3,3,79,0,0,0,33,0,0
Jim Jodat,25.8,5,129,0,0,0,38,0,0
Clarence Chapman,25.7,15,385,1,0,0,92,0,0
Ted McKnight,25.4,12,305,0,0,0,70,0,0
Billy Johnson,25.2,25,630,1,0,0,76,0,0
Eddie Brown,25.1,34,852,0,0,0,46,0,0
Eddie Payton,24.9,22,548,1,0,0,98,0,0
Hubert Ginn,24.7,3,74,0,0,0,30,0,0
Bruce Harper,24.6,42,1035,0,0,0,60,0,0
Butch Johnson,24.4,22,536,0,0,0,64,0,0
Brian Baschnagel,24.2,23,557,1,0,0,84,0,0
Paul Hofer,24.2,36,871,0,0,0,48,0,0
Terry Metcalf,24.1,32,772,0,0,0,51,0,0
Larry Brinson,24.1,17,409,0,0,0,41,0,0
Lyle Blackwood,24,1,24,0,0,0,24,0,0
Luther Blue,24,1,24,0,0,0,24,0,0
Alvin Maxson,24,5,120,0,0,0,43,0,0
Lonnie Perrin,24,3,72,0,0,0,32,0,0
Danny Reece,24,3,72,0,0,0,34,0,0
Terry Anderson,23.9,7,167,0,0,0,40,0,0
Jim Smith,23.8,16,381,0,0,0,37,0,0
James Hunter,23.8,4,95,0,0,0,30,0,0
Rick Kane,23.5,16,376,0,0,0,33,0,0
Isaac Hagins,23.5,21,493,0,0,0,41,0,0
John Kimbrough,23.1,15,346,0,0,0,27,0,0
Lenvil Elliott,23,1,23,0,0,0,23,0,0
Herb Lusk,23,1,23,0,0,0,23,0,0
Lemar Parrish,23,1,23,0,0,0,23,0,0
Laverne Smith,22.8,16,365,0,0,0,33,0,0
Rick Upchurch,22.8,20,456,0,0,0,32,0,0
Al Hunter,22.8,36,820,0,0,0,41,0,0
Warren Anderson,22.8,8,182,0,0,0,38,0,0
Duriel Harris,22.8,4,91,0,0,0,31,0,0
Larry Marshall,22.8,20,455,0,0,0,44,0,0
Beasley Reece,22.7,7,159,0,0,0,32,0,0
Lee Nelson,22.7,3,68,0,0,0,36,0,0
George Ragsdale,22.7,3,68,0,0,0,21,0,0
Rich Mauti,22.6,27,609,0,0,0,38,0,0
Bruce Laird,22.5,24,541,0,0,0,35,0,0
Brent McClanahan,22.5,4,90,0,0,0,32,0,0
John Schultz,22.5,6,135,0,0,0,33,0,0
Lou Piccone,22.2,4,89,0,0,0,26,0,0
Bobby Hammond,22,19,419,0,0,0,31,0,0
Curtis Brown,22,3,66,0,0,0,34,0,0
Wally Francis,22,1,22,0,0,0,22,0,0
Rick Jennings,21.9,7,153,0,0,0,29,0,0
Manfred Moore,21.8,24,524,0,0,0,48,0,0
Mike Pruitt,21.8,6,131,0,0,0,31,0,0
Duke Fergerson,21.8,11,240,0,0,0,39,0,0
Wendell Tyler,21.8,24,523,0,0,0,37,0,0
Tony Reed,21.7,11,239,0,0,0,39,0,0
Walter Packer,21.5,13,280,0,0,0,44,0,0
Archie Griffin,21.3,9,192,0,0,0,31,0,0
Tony Hill,21.3,3,64,0,0,0,29,0,0
Willie Shelby,21.2,19,403,0,0,0,38,0,0
Keith Moody,21.2,30,636,0,0,0,45,0,0
Art Best,21.2,6,127,0,0,0,29,0,0
Billy Hardee,21.1,7,148,0,0,0,36,0,0
Clarence Davis,21,3,63,0,0,0,26,0,0
Don Dufek,21,1,21,0,0,0,21,0,0
Steve Holden,21,2,42,0,0,0,24,0,0
Robert Jackson,21,1,21,0,0,0,21,0,0
Larry Jones,21,2,42,0,0,0,29,0,0
Lawrence Williams,20.7,25,518,0,0,0,48,0,0
Aundra Thompson,20.5,4,82,0,0,0,30,0,0
