Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Dolphins,338,3977,11.8,29,61,6,59,197,58.3,4
49ers,322,3955,12.3,44,53,9,57,202,62.7,5
Cardinals,305,3850,12.6,25,48,6,57T,189,62,4
Chargers,303,3602,11.9,13,42,5,67,176,58.1,7
Jets,302,3402,11.3,18,35,8,59,168,55.6,5
Bills,292,3246,11.1,21,37,3,47,153,52.4,6
Browns,291,3625,12.5,27,51,5,54,172,59.1,5
Cowboys,288,3594,12.5,19,56,3,77,176,61.1,1
Broncos,285,3874,13.6,24,62,10,72,173,60.7,7
Eagles,283,3561,12.6,26,52,13,70,153,54.1,9
Lions,275,3150,11.4,16,31,5,53,156,56.7,2
Bears,272,3420,12.6,23,50,7,59,157,57.7,4
Giants,265,3645,13.8,26,57,6,63,168,63.4,7
Buccaneers,264,3377,12.8,22,53,5,64,167,63.3,4
Bengals,255,3468,13.6,17,57,12,61,158,62,4
Colts,255,3042,11.9,16,34,7,72,137,53.7,5
Falcons,247,3108,12.6,17,46,4,57T,139,56.3,8
Raiders,247,3429,13.9,19,57,8,49,157,63.6,4
Redskins,247,3718,15,27,57,20,88,153,61.9,5
Oilers,240,3534,14.7,24,65,12,83,152,63.3,4
Seahawks,237,3028,12.8,31,43,5,75,155,65.4,4
Chiefs,236,2985,12.6,17,33,7,81,141,59.8,2
Patriots,236,2929,12.4,22,42,3,45T,158,67,3
Packers,234,2977,12.7,15,40,8,70,134,57.3,4
Vikings,232,3185,13.7,21,45,11,73,136,58.6,5
Saints,227,2987,13.2,23,40,4,82,150,66.1,5
Rams,220,2750,12.5,16,37,6,81,136,61.8,1
Steelers,198,2464,12.4,13,33,7,63,125,63.1,3
