Team,Rsh TD,Rec TD,Tot TD,2-PT
Vikings,20,21,42,0
Saints,20,23,46,0
Broncos,18,24,45,0
Redskins,18,27,46,0
Cowboys,17,19,38,0
Jets,17,18,38,0
Browns,16,27,45,0
Dolphins,16,29,45,0
Rams,15,16,37,0
Cardinals,15,25,42,0
Colts,14,16,30,0
Bears,13,23,42,0
Bengals,13,17,30,0
Packers,13,15,28,0
Raiders,13,19,35,0
Seahawks,13,31,46,0
Oilers,12,24,37,0
Patriots,12,22,38,0
Eagles,12,26,38,0
Steelers,11,13,29,0
Chargers,11,13,28,0
49ers,11,44,59,0
Bills,9,21,30,0
Lions,9,16,26,0
Chiefs,7,17,29,0
Buccaneers,7,22,31,0
Falcons,5,17,23,0
Giants,4,26,32,0
