Team,Rsh TD,Rec TD,Tot TD,2-PT
Eagles,25,20,47,5
Patriots,24,24,51,3
Titans,23,22,48,2
Cardinals,23,27,51,0
Colts,22,27,51,2
49ers,22,26,50,2
Bills,20,36,57,3
Browns,20,21,42,3
Ravens,18,21,41,2
Chargers,18,38,57,7
Seahawks,18,30,49,1
Buccaneers,18,43,63,1
Panthers,17,14,32,3
Bengals,16,36,53,1
Broncos,16,20,37,1
Chiefs,16,37,55,2
Cowboys,15,40,63,6
Bears,14,16,32,3
Raiders,14,23,37,0
Jets,14,20,36,4
Packers,13,39,54,1
Jaguars,13,12,28,2
Football Team,13,21,37,2
Lions,12,23,35,5
Dolphins,12,21,37,2
Saints,12,29,43,0
Falcons,11,20,33,1
Rams,10,41,52,2
Vikings,10,34,48,1
Steelers,10,23,34,2
Texans,8,21,31,2
Giants,8,15,24,4
