Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Cowboys,522,2300,4.4,16,0,0,47,119,22.8,0
Lions,514,2127,4.1,16,0,0,76T,113,22,0
Vikings,508,1634,3.2,16,0,0,23,98,19.3,0
Dolphins,492,2082,4.2,14,0,0,56,106,21.5,0
Raiders,471,1964,4.2,7,0,0,39T,107,22.7,0
49ers,471,1580,3.4,13,0,0,45T,86,18.3,0
Giants,465,1799,3.9,11,0,0,68T,94,20.2,0
Jets,463,1653,3.6,11,0,0,27,90,19.4,0
Browns,462,1579,3.4,14,0,0,63,84,18.2,0
Bengals,461,2057,4.5,16,0,0,76,100,21.7,0
Packers,453,1595,3.5,8,0,0,54,69,15.2,0
Eagles,450,1539,3.4,11,0,0,57,81,18,0
Chiefs,448,1858,4.2,11,0,0,65T,83,18.5,0
Redskins,444,2021,4.6,11,0,0,75,122,27.5,0
Broncos,436,1802,4.1,17,0,0,80,87,20,0
Steelers,432,1715,4,13,0,0,85,84,19.4,0
Falcons,431,1600,3.7,4,0,0,40T,76,17.6,0
Rams,430,1763,4.1,12,0,0,24,93,21.6,0
Cardinals,429,1998,4.7,18,0,0,75,110,25.6,0
Oilers,419,1556,3.7,10,0,0,49,88,21,0
Colts,411,1336,3.2,9,0,0,26T,70,17,0
Chargers,395,1450,3.7,9,0,0,70,83,21,0
Saints,371,1215,3.3,4,0,0,29,55,14.8,0
Bills,367,1465,4,8,0,0,56T,71,19.4,0
Bears,353,1092,3.1,3,0,0,45,55,15.6,0
Patriots,334,1040,3.1,11,0,0,26,63,18.9,0
