Team,Rsh TD,Rec TD,Tot TD,2-PT
Cardinals,18,16,37,0
Broncos,17,11,28,0
Bengals,16,12,31,0
Cowboys,16,18,35,0
Lions,16,19,41,0
Vikings,16,12,32,0
Browns,14,17,35,0
Dolphins,14,15,33,0
Steelers,13,12,26,0
49ers,13,25,41,0
Rams,12,17,33,0
Chiefs,11,13,25,0
Patriots,11,7,18,0
Giants,11,19,32,0
Jets,11,14,28,0
Eagles,11,16,28,0
Redskins,11,23,34,0
Oilers,10,12,22,0
Colts,9,23,38,0
Chargers,9,24,34,0
Bills,8,13,25,0
Packers,8,11,22,0
Raiders,7,28,36,0
Falcons,4,18,24,0
Saints,4,11,16,0
Bears,3,21,28,0
