Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Raiders,40,43,93,0_0,11_10,12_12,13_12,7_6,0_0,56,0
Patriots,36,39,92.3,0_0,9_9,11_11,11_11,8_5,0_0,53,0
Steelers,36,40,90,0_0,9_9,9_8,13_11,9_8,0_0,56,0
Ravens,35,37,94.6,0_0,7_7,9_9,15_13,5_5,1_1,66,0
Vikings,33,38,86.8,0_0,8_8,12_11,9_7,9_7,0_0,55,0
Rams,32,34,94.1,0_0,6_6,15_15,8_7,5_4,0_0,55,0
Eagles,30,33,90.9,0_0,7_7,10_10,13_10,3_3,0_0,58,1
Cardinals,30,37,81.1,0_0,11_11,11_9,5_3,7_6,3_1,62,0
Bengals,29,34,85.3,0_0,5_5,9_9,9_6,11_9,0_0,58,0
Cowboys,29,35,82.9,0_0,5_5,16_15,9_7,4_2,1_0,56,0
Colts,29,35,82.9,0_0,7_7,11_9,15_13,2_0,0_0,48,1
Giants,29,33,87.9,0_0,5_5,13_12,5_5,10_7,0_0,55,0
Bills,28,32,87.5,0_0,15_15,8_7,5_4,4_2,0_0,57,0
Chiefs,28,32,87.5,0_0,3_3,14_13,6_5,9_7,0_0,56,0
Football Team,28,33,84.8,0_0,10_10,5_5,14_10,4_3,0_0,55,3
Falcons,27,29,93.1,0_0,8_8,9_9,7_6,5_4,0_0,54,0
49ers,27,32,84.4,0_0,7_7,6_6,13_9,6_5,0_0,56,0
Panthers,26,29,89.7,0_0,10_10,3_3,11_10,5_3,0_0,57,1
Bears,26,30,86.7,0_0,10_10,5_5,13_11,1_0,1_0,47,1
Broncos,26,31,83.9,0_0,8_7,6_6,8_8,8_4,1_1,61,1
Lions,26,30,86.7,0_0,4_4,11_11,12_10,3_1,0_0,52,0
Titans,26,32,81.2,0_0,5_5,12_12,14_8,1_1,0_0,51,0
Packers,25,34,73.5,0_0,9_9,13_9,8_4,4_3,0_0,54,2
Saints,25,30,83.3,0_0,8_8,13_11,5_5,4_1,0_0,52,0
Buccaneers,25,31,80.6,0_0,11_11,8_7,10_7,1_0,1_0,48,0
Chargers,24,27,88.9,1_1,8_8,6_6,9_8,3_1,0_0,50,0
Dolphins,23,31,74.2,0_0,6_6,9_7,10_8,6_2,0_0,51,3
Texans,21,27,77.8,0_0,7_7,5_5,6_3,8_5,1_1,61,1
Jaguars,21,27,77.8,0_0,7_7,7_7,5_3,8_4,0_0,56,0
Jets,21,27,77.8,0_0,7_7,8_8,8_5,4_1,0_0,51,0
Seahawks,17,23,73.9,0_0,2_2,11_9,5_3,5_3,0_0,53,0
Browns,16,22,72.7,0_0,3_3,5_5,10_4,4_4,0_0,57,1
