Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Oilers,357,4145,11.6,23,49,7,80,208,58.3,11
49ers,354,4480,12.7,29,61,10,80,212,59.9,7
Broncos,350,4061,11.6,27,51,10,63T,187,53.4,6
Dolphins,342,4564,13.4,27,60,12,80,207,60.5,12
Falcons,334,3787,11.3,28,37,6,98,185,55.4,5
Colts,332,3623,10.9,10,39,3,72T,180,54.2,12
Eagles,328,3463,10.6,23,31,8,80,184,56.1,8
Packers,322,3330,10.3,19,38,5,66,166,51.6,1
Cowboys,317,3617,11.4,18,34,9,86,172,54.3,4
Vikings,315,3381,10.7,18,38,5,58,182,57.8,4
Cardinals,310,3635,11.7,21,42,8,65,173,55.8,2
Bills,304,3535,11.6,20,49,8,65,176,57.9,3
Chargers,301,3383,11.2,18,38,5,66,171,56.8,0
Steelers,299,3606,12.1,16,37,8,71,180,60.2,6
Jets,294,3492,11.9,16,37,10,77,173,58.8,9
Patriots,289,3412,11.8,17,42,7,69T,169,58.5,5
Chiefs,287,3384,11.8,20,41,5,66,180,62.7,4
Redskins,287,2764,9.6,11,24,4,54,143,49.8,2
Raiders,281,3882,13.8,17,49,13,74,168,59.8,4
Seahawks,280,2896,10.3,13,33,5,53T,144,51.4,3
Saints,274,3183,11.6,18,31,5,63,158,57.7,5
Bengals,272,2830,10.4,11,38,3,51,133,48.9,3
Lions,264,2943,11.2,15,28,9,93,139,52.6,5
Browns,262,3328,12.7,23,47,10,62,152,58,6
Buccaneers,262,3295,12.6,19,46,11,67,141,53.8,3
Giants,257,3180,12.4,17,41,10,62,153,59.5,4
Rams,247,3021,12.2,16,44,5,60,147,59.5,2
Bears,230,2270,9.9,7,23,2,48,113,49.1,3
