Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Oilers,614,357,58.1,6.8,4145,23,25,74.2,208,33.9,49,7,80T,43,279
Colts,594,332,55.9,6.1,3623,10,15,69.2,180,30.3,39,3,72T,29,206
Dolphins,581,342,58.9,7.9,4564,27,18,86.4,207,35.6,60,12,80,30,211
Falcons,573,334,58.3,6.6,3787,28,25,76.3,185,32.3,37,6,98,40,267
Patriots,566,289,51.1,6,3412,17,24,62.1,169,29.9,42,7,82T,23,127
Chargers,563,301,53.5,6,3383,18,14,72,171,30.4,38,5,66,32,240
Eagles,556,328,59,6.2,3463,23,13,81.2,184,33.1,31,8,80T,42,302
Broncos,553,350,63.3,7.3,4061,27,10,94.2,187,33.8,51,10,63,39,293
Steelers,540,299,55.4,6.7,3606,16,12,76.7,180,33.3,37,8,71,48,374
Redskins,533,287,53.8,5.2,2764,11,21,59,143,26.8,24,4,54T,40,219
Packers,528,322,61,6.3,3330,19,24,72.2,166,31.4,38,5,66T,30,199
Vikings,526,315,59.9,6.4,3381,18,14,79.1,182,34.6,38,5,58,35,181
49ers,524,354,67.6,8.6,4480,29,17,98.9,212,40.5,61,10,80T,35,178
Cardinals,522,310,59.4,7,3635,21,20,78,173,33.1,42,8,65,33,231
Bengals,510,272,53.3,5.6,2830,11,11,67.8,133,26.1,38,3,51,53,289
Buccaneers,508,262,51.6,6.5,3295,19,25,64,141,27.8,46,11,67T,39,274
Seahawks,498,280,56.2,5.8,2896,13,18,66.8,144,28.9,33,5,53,48,242
Bills,497,304,61.2,7.1,3535,20,18,81,176,35.4,49,8,65,31,218
Raiders,495,281,56.8,7.8,3882,17,14,81.7,168,33.9,49,13,74,50,293
Chiefs,490,287,58.6,6.9,3384,20,10,84.8,180,36.7,41,5,66,35,204
Jets,489,294,60.1,7.1,3492,16,12,82.6,173,35.4,37,10,77,21,160
Saints,481,274,57,6.6,3183,18,21,71.4,158,32.8,31,5,63,40,242
Browns,478,262,54.8,7,3328,23,19,76.2,152,31.8,47,10,62,45,289
Cowboys,475,317,66.7,7.6,3617,18,6,96.8,172,36.2,34,9,86T,29,163
Rams,473,247,52.2,6.4,3021,16,19,66.8,147,31.1,44,5,60T,31,231
Lions,435,264,60.7,6.8,2943,15,19,74.1,139,32,28,9,93T,46,229
Giants,424,257,60.6,7.5,3180,17,9,88.4,153,36.1,41,10,62T,40,245
Bears,388,230,59.3,5.8,2270,7,16,64.7,113,29.1,23,2,48,48,230
