Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,219,2354,10.8,18,34,4,62,113,51.6,3
Chiefs,212,2289,10.8,15,26,4,54,109,51.4,4
Commanders,206,2146,10.4,13,24,1,41,100,48.5,2
Bills,205,2165,10.6,17,21,5,55,107,52.2,2
Lions,200,2174,10.9,12,35,3,45,107,53.5,3
Saints,196,2080,10.6,8,23,8,58,92,46.9,0
Dolphins,195,2483,12.7,19,33,8,69,120,61.5,2
Eagles,193,2140,11.1,13,28,6,63,96,49.7,1
Jaguars,189,1956,10.4,9,23,3,56,90,47.6,5
Patriots,180,1720,9.6,9,16,2,58T,76,42.2,3
Colts,178,1977,11.1,10,27,6,75,91,51.1,2
Bengals,175,1513,8.6,10,11,2,63T,82,46.9,3
Chargers,174,1939,11.1,14,30,4,60,93,53.4,4
Panthers,172,1570,9.1,9,15,2,47T,84,48.8,1
Rams,171,2112,12.4,8,36,3,49T,98,57.3,1
Falcons,170,1898,11.2,7,23,4,52,93,54.7,1
Cardinals,168,1573,9.4,8,16,2,69,82,48.8,0
Raiders,167,1749,10.5,8,13,1,48T,92,55.1,1
Cowboys,163,1668,10.2,10,23,2,60,83,50.9,3
Giants,163,1462,9,4,19,2,58T,66,40.5,2
Ravens,160,1767,11,9,28,4,80,78,48.8,4
Buccaneers,158,1600,10.1,10,23,3,70,77,48.7,3
Bears,156,1678,10.8,12,23,3,58T,80,51.3,2
Broncos,154,1613,10.5,16,22,5,60,71,46.1,4
49ers,154,2034,13.2,12,31,4,42,98,63.6,2
Seahawks,154,1708,11.1,9,21,2,51T,81,52.6,0
Texans,144,1806,12.5,10,27,4,68,88,61.1,1
Steelers,140,1486,10.6,6,19,3,72,61,43.6,2
Packers,136,1506,11.1,11,16,3,77T,76,55.9,1
Browns,134,1431,10.7,5,17,4,58,64,47.8,3
Jets,127,1337,10.5,5,16,2,68,58,45.7,0
Titans,122,1442,11.8,7,21,7,70,58,47.5,1
