Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,16,19,36,0
Ravens,14,9,23,1
49ers,14,12,26,0
Colts,12,10,22,2
Lions,11,12,24,0
Eagles,10,13,24,1
Bills,9,17,27,1
Jaguars,9,9,20,2
Rams,9,8,17,2
Browns,8,5,13,3
Bears,7,12,20,1
Saints,7,8,17,1
Cardinals,7,8,15,2
Seahawks,7,9,18,1
Falcons,6,7,13,1
Chargers,6,14,20,1
Commanders,6,13,20,2
Cowboys,5,10,19,2
Titans,5,7,12,0
Packers,4,11,16,2
Chiefs,4,15,19,0
Raiders,4,8,13,1
Patriots,4,9,13,0
Giants,4,4,9,0
Texans,3,10,14,0
Jets,3,5,9,2
Steelers,3,6,10,0
Panthers,2,9,13,1
Bengals,2,10,14,0
Broncos,1,16,18,2
Vikings,1,18,19,0
Buccaneers,1,10,12,2
