Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Giants,127,43,14,8,66,40.5,45,18.6,528
Saints,120,43,11,6,92,46.9,54,23,560
Colts,117,47,16,6,91,51.1,51,22.2,537
Lions,113,46,17,8,107,53.5,58,23.8,553
Rams,112,48,10,7,98,57.3,51,24.5,516
Eagles,112,56,15,11,96,49.7,76,29.6,558
Falcons,108,41,11,5,93,54.7,58,24,531
Jaguars,107,38,11,4,90,47.6,51,21.5,531
Ravens,106,48,5,2,78,48.8,69,26.6,507
Bears,106,46,14,5,80,51.3,64,27.5,503
Patriots,106,36,12,3,76,42.2,46,24.2,486
Vikings,104,43,14,10,113,51.6,29,17.6,498
Browns,103,32,8,4,64,47.8,56,23.5,502
Cardinals,103,41,16,4,82,48.8,53,24.3,502
Chiefs,102,48,7,3,109,51.4,53,26.2,522
Bills,100,49,9,5,107,52.2,61,28.8,510
Texans,100,44,8,4,88,61.1,33,16.8,450
Panthers,99,39,14,5,84,48.8,39,23.2,465
Cowboys,98,47,8,3,83,50.9,47,22.6,455
Steelers,97,34,7,2,61,43.6,36,22,415
Commanders,97,32,12,6,100,48.5,44,27.7,508
Buccaneers,96,39,6,4,77,48.7,25,14.7,428
Chargers,95,39,12,7,93,53.4,37,19.8,455
Packers,94,38,14,7,76,55.9,31,19.1,411
Broncos,92,37,6,2,71,46.1,52,26.8,453
Bengals,89,30,7,2,82,46.9,36,24.3,430
Raiders,89,29,12,8,92,55.1,33,18.3,464
Jets,87,20,6,3,58,45.7,34,21.7,400
Titans,86,29,6,4,58,47.5,42,23.2,400
Dolphins,84,35,12,5,120,61.5,55,26.7,495
49ers,84,39,4,3,98,63.6,66,27.2,482
Seahawks,82,29,7,3,81,52.6,43,24.9,418
