Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,259,1145,4.4,14,5,0,27T,69,26.6,3
Eagles,257,1058,4.1,10,5,1,43,76,29.6,4
Lions,244,1051,4.3,11,6,2,42,58,23.8,3
49ers,243,1068,4.4,14,4,2,65,66,27.2,4
Falcons,242,1010,4.2,6,6,0,38,58,24,4
Giants,242,902,3.7,4,3,0,34,45,18.6,3
Browns,238,1040,4.4,8,6,3,69,56,23.5,4
Jaguars,237,900,3.8,9,7,0,35T,51,21.5,2
Saints,235,848,3.6,7,1,0,20T,54,23,2
Bears,233,1062,4.6,7,5,0,34,64,27.5,2
Colts,230,1032,4.5,12,9,3,56,51,22.2,3
Cardinals,218,1102,5.1,7,13,3,45T,53,24.3,3
Bills,212,905,4.3,9,5,0,36,61,28.8,3
Cowboys,208,820,3.9,5,4,1,46T,47,22.6,2
Rams,208,876,4.2,9,4,0,31,51,24.5,1
Dolphins,206,1214,5.9,16,13,7,76T,55,26.7,8
Chiefs,202,841,4.2,4,4,1,48T,53,26.2,1
Texans,197,643,3.3,3,0,0,17,33,16.8,2
Broncos,194,934,4.8,1,7,0,38,52,26.8,2
Patriots,190,675,3.6,4,1,0,20,46,24.2,1
Chargers,187,725,3.9,6,4,3,55T,37,19.8,0
Titans,181,811,4.5,5,5,1,63,42,23.2,2
Raiders,180,560,3.1,4,2,0,34,33,18.3,2
Seahawks,173,750,4.3,7,7,1,45T,43,24.9,1
Buccaneers,170,545,3.2,1,1,0,31,25,14.7,0
Panthers,168,632,3.8,2,2,0,26,39,23.2,3
Vikings,165,586,3.6,1,0,0,19,29,17.6,4
Steelers,164,558,3.4,3,3,0,24,36,22,3
Packers,162,619,3.8,4,3,0,26,31,19.1,2
Commanders,159,687,4.3,6,4,0,29,44,27.7,2
Jets,157,763,4.9,3,4,3,83T,34,21.7,6
Bengals,148,553,3.7,2,3,0,22,36,24.3,0
