Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Vikings,315,219,69.5,7.5,2354,18,5,103.6,113,35.9,34,4,62T,18,110
Chiefs,310,212,68.4,7.4,2289,15,10,92.5,109,35.2,26,4,54,10,78
Commanders,308,206,66.9,7,2146,13,8,90.1,100,32.5,24,1,41,41,276
Saints,304,196,64.5,6.8,2080,8,5,86.2,92,30.3,23,8,58T,21,135
Lions,293,200,68.3,7.4,2174,12,5,96.4,107,36.5,35,3,45T,16,100
Rams,288,171,59.4,7.3,2112,8,7,81.2,98,34,36,3,49,20,152
Bills,286,205,71.7,7.6,2165,17,8,101.5,107,37.4,21,5,55T,12,55
Colts,286,178,62.2,6.9,1977,10,6,85.7,91,31.8,27,6,75,21,110
Eagles,282,193,68.4,7.6,2140,13,8,94.3,96,34,28,6,63T,19,99
Patriots,278,180,64.8,6.2,1720,9,8,80.6,76,27.3,16,2,58T,18,117
Dolphins,277,195,70.4,9,2483,19,8,108.9,120,43.3,33,8,69,12,71
Jaguars,275,189,68.7,7.1,1956,9,4,93.8,90,32.7,23,3,56T,19,125
Panthers,272,172,63.2,5.8,1570,9,4,83.7,84,30.9,15,2,47T,25,210
Cardinals,267,168,62.9,5.9,1573,8,5,81.2,82,30.7,16,2,69,17,126
Bengals,265,175,66,5.7,1513,10,4,87.2,82,30.9,11,2,63T,17,128
Falcons,263,170,64.6,7.2,1898,7,6,85.4,93,35.4,23,4,52,26,179
Raiders,262,167,63.7,6.7,1749,8,13,72.5,92,35.1,13,1,48T,22,163
Chargers,253,174,68.8,7.7,1939,14,4,103.2,93,36.8,30,4,60T,15,127
Buccaneers,247,158,64,6.5,1600,10,4,89.1,77,31.2,23,3,70,11,57
Giants,245,163,66.5,6,1462,4,6,77.6,66,26.9,19,2,58,41,221
Bears,242,156,64.5,6.9,1678,12,9,85.7,80,33.1,23,3,58,28,175
Browns,241,134,55.6,5.9,1431,5,11,61.1,64,26.6,17,4,58T,23,171
Texans,238,144,60.5,7.6,1806,10,1,96.4,88,37,27,4,68,15,136
Packers,235,136,57.9,6.4,1506,11,8,78.4,76,32.3,16,3,77,14,116
Broncos,233,154,66.1,6.9,1613,16,4,101.7,71,30.5,22,5,60T,26,130
Steelers,232,140,60.3,6.4,1486,6,6,76.9,61,26.3,19,3,72,19,142
Seahawks,231,154,66.7,7.4,1708,9,6,90.6,81,35.1,21,2,51,14,115
Cowboys,229,163,71.2,7.3,1668,10,5,97.2,83,36.2,23,2,60,18,122
Ravens,228,160,70.2,7.8,1767,9,3,100.5,78,34.2,28,4,80,20,106
49ers,225,154,68.4,9,2034,12,5,105.3,98,43.6,31,4,42,14,89
Jets,219,127,58,6.1,1337,5,5,73.9,58,26.5,16,2,68T,24,187
Titans,194,122,62.9,7.4,1442,7,6,84.6,58,29.9,21,7,70,25,177
