Team,Rsh TD,Rec TD,Tot TD,2-PT
Patriots,30,15,46,0
Seahawks,28,15,44,0
Cowboys,22,25,48,0
Jets,21,19,42,0
Bears,19,7,29,0
Oilers,19,16,35,0
Chiefs,19,7,26,0
Raiders,18,16,37,0
Dolphins,18,24,44,0
Browns,17,22,40,0
Saints,17,17,35,0
Packers,16,11,31,0
Eagles,16,16,35,0
Steelers,16,28,45,0
Chargers,16,26,44,0
Buccaneers,16,12,29,0
Bills,15,21,39,0
Broncos,15,17,34,0
Cardinals,14,16,31,0
49ers,14,9,25,0
Falcons,13,11,27,0
Lions,12,19,32,0
Rams,12,13,32,0
Giants,12,13,28,0
Bengals,10,14,28,0
Vikings,10,25,36,0
Redskins,10,17,30,0
Colts,9,17,30,0
