Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Patriots,671,3165,4.7,30,0,0,73T,181,27,0
Chiefs,663,2986,4.5,19,0,0,62,160,24.1,0
Steelers,641,2297,3.6,16,0,0,37,133,20.8,0
Bears,634,2526,4,19,0,0,76,136,21.4,0
Cowboys,625,2783,4.4,22,0,0,63T,146,23.4,0
Rams,609,2308,3.8,12,0,0,26T,128,21,0
Oilers,603,2476,4.1,19,0,0,81T,135,22.4,0
Broncos,601,2451,4.1,15,0,0,47,129,21.5,0
Chargers,590,2096,3.6,16,0,0,37T,116,19.7,0
Eagles,587,2456,4.2,16,0,0,50T,143,24.4,0
49ers,585,2091,3.6,14,0,0,40T,117,20,0
Giants,580,2304,4,12,0,0,46,125,21.6,0
Raiders,577,2186,3.8,18,0,0,34T,116,20.1,0
Jets,562,2250,4,21,0,0,33,131,23.3,0
Seahawks,561,2394,4.3,28,0,0,67,150,26.7,0
Browns,559,2488,4.4,17,0,0,71,133,23.8,0
Bills,556,2381,4.3,15,0,0,66,132,23.7,0
Cardinals,554,1954,3.5,14,0,0,32,103,18.6,0
Packers,550,2023,3.7,16,0,0,76T,105,19.1,0
Buccaneers,549,2098,3.8,16,0,0,56,111,20.2,0
Dolphins,548,2366,4.3,18,0,0,65,119,21.7,0
Redskins,537,2082,3.9,10,0,0,47,99,18.4,0
Falcons,533,1660,3.1,13,0,0,26T,90,16.9,0
Colts,532,2044,3.8,9,0,0,46,95,17.9,0
Bengals,526,2131,4,10,0,0,65T,105,20,0
Lions,525,2163,4.1,12,0,0,75T,105,20,0
Saints,512,1845,3.6,17,0,0,28,119,23.2,0
Vikings,505,1536,3,10,0,0,22,102,20.2,0
