Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Packers,240,94,17,7,185,52.9,93,21.6,1085
Dolphins,234,88,14,7,180,52.6,82,20.4,1034
Saints,234,105,20,12,207,55.6,97,20.6,1075
Ravens,233,96,11,8,179,54.6,86,18.1,1017
Vikings,233,77,21,15,160,48.2,86,19.5,1025
Bears,231,85,13,9,161,57.1,103,20.5,1042
Patriots,226,96,20,16,181,55.5,121,24.2,1055
Jets,226,99,16,5,161,51.4,99,20.2,1013
Seahawks,224,85,8,2,167,57.2,111,22.9,1045
Rams,222,83,18,12,212,57.1,94,22.2,1065
Buccaneers,222,82,16,4,133,44.9,82,20.3,972
Falcons,220,79,20,8,133,59.9,134,25,1000
Chiefs,219,89,15,9,184,67.6,105,20.5,1004
Jaguars,217,85,14,7,147,55.3,127,24.8,989
Steelers,217,93,21,10,201,64.4,100,21.3,1041
Chargers,213,92,11,6,169,58.9,137,26.2,1016
Raiders,212,77,21,7,144,54.8,73,18.5,949
Cardinals,212,83,15,10,187,58.1,84,20,999
Broncos,211,78,13,7,151,59,106,21.7,973
Redskins,211,79,13,6,150,54.7,123,25.1,979
Panthers,209,65,9,3,158,48.6,100,23.6,994
Browns,209,70,15,6,153,48.1,72,19.4,938
Eagles,209,88,11,5,189,58.5,106,25.5,988
49ers,209,72,11,6,131,51,97,22.1,918
Cowboys,205,100,19,9,197,63.6,107,22.7,1015
Titans,205,67,17,7,133,58.8,105,22.4,945
Giants,203,77,15,7,163,54.2,120,26.4,1003
Bengals,201,72,9,6,200,61.2,87,20,994
Bills,199,63,11,5,132,49.2,82,19.5,898
Texans,198,77,13,9,156,47.4,106,24.6,955
Lions,190,62,22,9,208,55.9,53,17.4,963
Colts,187,105,4,0,241,66.6,112,25.5,1011
