Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Falcons,537,2939,5.5,9,23,4,90,134,25,8
Chargers,522,2578,4.9,32,20,9,85,137,26.2,8
Jaguars,513,2541,5,23,14,4,76,127,24.8,8
Chiefs,513,2143,4.2,17,12,4,47,105,20.5,10
Bears,503,1918,3.8,14,7,0,30T,103,20.5,5
Patriots,499,1969,4,20,12,2,50T,121,24.2,6
Jets,491,1738,3.5,15,7,0,32,99,20.2,4
Redskins,490,2216,4.5,13,13,0,38T,123,25.1,12
Broncos,488,2152,4.4,12,16,4,72T,106,21.7,12
Seahawks,484,1923,4,8,8,0,37T,111,22.9,9
Ravens,476,1637,3.4,11,6,1,52T,86,18.1,12
Cowboys,472,1936,4.1,21,10,1,77,107,22.7,6
Saints,472,1761,3.7,19,6,1,57,97,20.6,7
Titans,469,2214,4.7,15,17,2,70,105,22.4,11
Steelers,469,1992,4.2,16,16,4,76,100,21.3,12
Giants,455,2156,4.7,14,13,3,55,120,26.4,7
Vikings,442,1820,4.1,12,7,2,95,86,19.5,7
Colts,439,1762,4,17,3,1,41T,112,25.5,4
49ers,439,2172,5,12,20,6,72,97,22.1,10
Bengals,435,1629,3.7,14,5,0,22T,87,20,8
Packers,431,1663,3.9,9,7,1,70T,93,21.6,6
Texans,431,1687,3.9,13,7,0,35,106,24.6,9
Rams,424,1805,4.3,13,10,1,59T,94,22.2,6
Panthers,423,1659,3.9,7,11,1,43,100,23.6,7
Bills,420,1552,3.7,9,4,1,57T,82,19.5,12
Cardinals,419,1338,3.2,12,0,0,18T,84,20,11
Eagles,416,1984,4.8,13,11,1,71,106,25.5,6
Buccaneers,404,1523,3.8,6,6,0,38,82,20.3,10
Dolphins,402,1673,4.2,7,9,3,55,82,20.4,8
Raiders,394,1519,3.9,5,4,2,59T,73,18.5,16
Browns,372,1335,3.6,7,2,0,33,72,19.4,11
Lions,304,1129,3.7,9,6,1,52,53,17.4,8
