Team,Rsh TD,Rec TD,Tot TD,2-PT
Chargers,32,24,56,0
Jaguars,23,17,42,0
Cowboys,21,26,51,1
Patriots,20,25,46,0
Saints,19,27,49,0
Colts,17,31,49,0
Chiefs,17,18,37,0
Steelers,16,23,42,0
Titans,15,13,33,2
Jets,15,17,34,0
Bears,14,24,45,0
Bengals,14,28,43,0
Giants,14,24,41,0
Texans,13,14,28,1
Rams,13,24,38,0
Eagles,13,31,48,0
Redskins,13,19,34,0
Broncos,12,20,34,0
Vikings,12,13,30,0
Cardinals,12,17,31,0
49ers,12,16,29,0
Ravens,11,21,37,0
Falcons,9,21,31,0
Bills,9,19,31,0
Lions,9,21,31,0
Packers,9,18,31,0
Seahawks,8,26,36,0
Panthers,7,19,28,0
Browns,7,15,24,0
Dolphins,7,16,25,0
Buccaneers,6,14,23,0
Raiders,5,7,14,0
