Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Vikings,28.3,42,1190,2,30,6,101T,0,1
Lions,27.7,44,1220,0,37,4,104,0,1
Bears,27,33,892,0,24,3,74,0,0
Falcons,25.6,26,667,0,20,2,50T,1,0
Seahawks,25.5,34,868,1,23,3,105T,0,0
Browns,25.4,41,1041,0,34,2,53,0,1
Ravens,25.2,34,857,0,25,3,50,0,0
Cowboys,25.1,28,704,0,22,2,79,0,1
Redskins,25,40,999,2,25,3,101,0,0
Giants,24.9,39,971,1,28,4,100T,0,1
Packers,24.5,36,881,0,23,5,70,0,0
Rams,24.4,34,830,0,23,3,102,0,0
Colts,24.4,43,1047,0,31,3,60,0,1
Steelers,24.2,29,701,0,20,0,38,0,1
Buccaneers,24.1,21,506,0,15,0,38,0,0
Cardinals,24.1,32,770,1,20,2,108T,2,1
Raiders,23.9,53,1268,0,38,2,70,0,3
Texans,23.9,18,430,0,15,1,41,0,1
Niners,23.6,42,993,0,31,1,40,0,2
Jaguars,23.3,31,721,0,22,2,42T,0,0
Chiefs,22.6,35,791,0,20,2,54,0,0
Dolphins,22.3,43,958,0,27,1,50T,0,2
Broncos,21.8,27,588,0,16,1,41T,0,0
Saints,21.6,28,605,0,17,0,38T,0,0
Eagles,20.9,27,565,0,14,2,49T,0,0
Jets,20.8,37,771,0,21,1,54T,0,1
Chargers,20.8,28,583,0,19,0,34,0,0
Titans,20.6,33,680,0,17,0,34,0,1
Bengals,20.6,34,700,0,19,2,58T,0,1
Bills,18.8,41,772,0,22,0,32,0,0
Patriots,18.8,25,469,0,11,1,75T,0,0
Panthers,18.5,22,407,0,13,0,33,0,0
