Team,INT,INT TD,INT Yds,Lng
Dolphins,32,2,458,53
Broncos,31,1,307,38T
Buccaneers,29,0,312,31
Rams,28,5,427,44
Raiders,28,1,407,52T
Eagles,28,2,271,50T
Browns,27,1,353,46
Packers,27,2,344,77
Steelers,27,0,289,65
Cardinals,26,0,249,33
Cowboys,23,0,316,56
Jets,23,1,389,53
Lions,22,1,292,76T
Vikings,22,0,192,30
Patriots,22,1,358,50
Chargers,22,2,191,52T
Seahawks,22,1,193,44T
Redskins,22,0,189,39
Chiefs,21,0,274,61
Saints,21,1,319,97T
Giants,21,1,438,52
Bengals,20,3,319,64
49ers,18,1,283,32T
Bears,17,1,216,60T
Oilers,17,0,199,38
Colts,17,2,249,79T
Bills,14,1,290,85T
Falcons,12,0,159,44
