Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Patriots,511,1852,3.6,14,100,19.6
Chiefs,602,2384,4,21,138,22.9
Steelers,513,1774,3.5,11,106,20.7
Bears,568,2174,3.8,15,128,22.5
Cowboys,477,1721,3.6,13,83,17.4
Rams,505,1845,3.6,11,89,17.6
Oilers,556,2072,3.7,14,120,21.6
Broncos,549,1979,3.6,12,106,19.3
Chargers,510,2208,4.3,12,114,22.4
Eagles,505,1862,3.7,11,92,18.2
49ers,649,2365,3.6,17,128,19.7
Giants,640,2656,4.2,25,155,24.2
Raiders,583,2183,3.7,15,125,21.4
Jets,600,2701,4.5,20,157,26.2
Seahawks,551,2513,4.6,20,153,27.8
Browns,563,2149,3.8,19,116,20.6
Bills,677,3228,4.8,23,171,25.3
Cardinals,588,2396,4.1,15,131,22.3
Packers,620,2439,3.9,19,137,22.1
Buccaneers,595,2049,3.4,12,109,18.3
Dolphins,543,2261,4.2,15,120,22.1
Redskins,625,2536,4.1,15,131,21
Falcons,578,2067,3.6,21,117,20.2
Colts,662,3010,4.6,21,153,23.1
Bengals,607,2396,4,16,121,19.9
Lions,565,2184,3.9,18,115,20.4
Saints,574,2420,4.2,9,129,22.5
Vikings,559,2116,3.8,20,120,21.5
