Player,FF,FR,FR TD
John Elliott,0,2,0
Jim Files,0,0,0
Jimmy Johnson,0,1,0
Walter Johnson,0,0,0
Joe Owens,0,0,0
Ron Pritchard,0,0,0
Al Randolph,0,0,0
Chuck Reynolds,0,0,0
Ron Snidow,0,0,0
Dave Washington,0,2,0
