Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Mark Washington,48.4,5,242,1,0,0,100,0,0
Lem Barney,48,2,96,0,0,0,74,0,0
O.J. Simpson,47.6,7,333,1,0,0,95,0,0
Jim Duncan,35.4,20,707,1,0,0,99,0,0
Cecil Leonard,35,1,35,0,0,0,35,0,0
Cecil Turner,32.7,23,752,4,0,0,96,0,0
Dave Hampton,31.3,6,188,1,0,0,101,0,0
Clem Turner,31,1,31,0,0,0,31,0,0
Lemar Parrish,30.1,16,482,1,0,0,95,0,0
Larry Carwell,30,1,30,0,0,0,30,0,0
Mel Blount,29.7,18,535,0,0,0,91,0,0
Jimmy Thomas,29.5,6,177,0,0,0,55,0,0
Jake Scott,29.2,4,117,0,0,0,42,0,0
Alvin Haymond,29.2,35,1022,1,0,0,98,0,0
Mercury Morris,29,28,812,1,0,0,96,0,0
Charlie West,29,11,319,0,0,0,66,0,0
Larry Krause,28.5,18,513,1,0,0,100,0,0
Preston Pearson,28.5,4,114,0,0,0,35,0,0
Robert Holmes,28.2,19,535,0,0,0,48,0,0
Ron Johnson,28,5,140,0,0,0,69,0,0
Jack Maitland,28,1,28,0,0,0,28,0,0
Zeke Moore,27.1,7,190,0,0,0,45,0,0
Tom Schoen,27,1,27,0,0,0,27,0,0
Don McCall,26,1,26,0,0,0,26,0,0
Steve Owens,26,1,26,0,0,0,26,0,0
