Player,INT,INT TD,INT Yds,Lng
Johnny Robinson,10,0,155,57
Dick LeBeau,9,0,96,43
Dick Anderson,8,0,191,86
W.K. Hicks,8,0,99,35
Lem Barney,7,2,168,49
Lee Calland,7,0,38,21
Ed Sharockman,7,1,132,43
Willie Wood,7,0,110,24
Paul Krause,6,0,90,40
Jerry Logan,6,2,92,33
Paul Martha,6,0,99,50
Zeke Moore,6,0,85,32
Ken Reaves,6,0,44,28
Roger Wehrli,6,0,50,41
Willie Williams,6,0,114,52
Erich Barnes,5,1,85,38
Mike Curtis,5,0,50,18
Miller Farr,5,1,38,19
Hugo Hollas,5,0,79,29
Kent McCloughan,5,0,5,5
Lloyd Mumphord,5,1,35,32
Lemar Parrish,5,0,28,19
Pete Richardson,5,0,46,22
Jake Scott,5,0,112,47
Emmitt Thomas,5,0,87,39
