Team,INT,INT TD,INT Yds,Lng
Panthers,24,4,301,46
Chiefs,22,4,477,90
Bengals,21,1,202,37
Cardinals,19,4,263,40
Jets,18,0,191,31
Bills,17,2,253,44
Colts,17,4,196,69
Steelers,17,2,282,70
Packers,16,2,198,45
Falcons,15,1,220,84
Giants,15,2,206,63
Eagles,15,3,280,99
Broncos,14,4,321,74
Texans,14,2,180,50
Raiders,14,1,73,27T
Seahawks,14,0,205,54T
Rams,13,1,182,58
Dolphins,13,3,184,42
Vikings,13,2,215,91
Patriots,12,0,176,51T
Browns,11,2,210,52
Titans,11,1,164,45
Chargers,11,1,152,68
Buccaneers,11,1,93,28T
Redskins,11,1,181,44
Lions,9,1,103,31
Jaguars,9,1,120,48T
Saints,9,0,87,24T
Niners,9,1,125,45
Bears,8,0,103,39T
Cowboys,8,1,62,24
Ravens,6,1,51,25T
