Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Texans,214,61,12,7,79,20.4,986
Colts,227,89,14,10,89,19.7,1072
Chargers,195,74,8,7,101,24.2,959
Eagles,231,99,9,6,100,20.9,1148
Jets,232,77,23,13,62,16.6,1013
Falcons,191,82,15,5,107,25.7,996
Bills,210,85,13,3,87,22.1,1017
Browns,203,81,15,10,104,22.7,998
Ravens,216,86,9,4,80,19.1,1000
Broncos,227,80,14,5,81,19.8,1033
Raiders,224,84,17,9,94,23.2,1085
Bears,201,89,12,5,103,23.8,980
Saints,176,71,13,10,103,24.5,996
Giants,230,108,14,8,104,23.4,1105
Redskins,207,78,20,11,103,25.4,1010
Patriots,225,84,18,8,77,19.4,1042
Niners,210,82,11,6,128,25.4,1081
Seahawks,195,67,7,1,71,19.6,947
Packers,220,79,21,10,96,22.9,1014
Jaguars,227,105,12,6,102,22,1102
Dolphins,221,96,12,4,112,22.3,1075
Panthers,227,86,26,15,74,20.3,1058
Lions,200,82,8,5,96,22.4,999
Buccaneers,211,97,6,4,104,22.3,1044
Bengals,218,86,20,9,74,21.5,1032
Titans,216,92,12,4,101,21.9,1003
Rams,225,78,15,4,98,21.6,1091
Chiefs,217,72,27,13,86,22.4,1037
Vikings,206,71,22,11,94,22.9,1015
Cardinals,210,75,17,8,79,21.2,982
Steelers,225,90,24,7,71,18.6,1055
Cowboys,208,81,10,5,113,24.5,998
