Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Ravens,545,350,64.2,6.9,3737,30,6,189,34.7,37
Saints,544,372,68.4,8.4,4544,45,9,223,41,31
Chargers,510,328,64.3,7.4,3786,22,11,170,33.3,32
Lions,528,360,68.2,7.2,3786,27,9,191,36.2,43
Patriots,596,361,60.6,6.5,3851,24,12,204,34.2,49
Giants,638,423,66.3,7.5,4783,31,15,236,37,23
Eagles,633,394,62.2,6.8,4273,36,15,239,37.8,37
Falcons,561,370,66,6.9,3882,19,15,197,35.1,19
Texans,553,326,59,6.1,3366,24,14,173,31.3,45
Colts,585,354,60.5,7,4114,29,17,210,35.9,35
Browns,511,322,63,7.8,4012,34,11,186,36.4,29
Jaguars,602,390,64.8,7.1,4291,29,9,222,36.9,36
Broncos,573,344,60,5.6,3193,19,14,162,28.3,52
Raiders,641,404,63,6.5,4140,25,14,206,32.1,38
Jets,601,343,57.1,6.3,3763,25,18,185,30.8,39
Steelers,625,402,64.3,7,4350,29,17,231,37,48
Dolphins,542,350,64.6,7.4,4000,31,13,203,37.4,31
Packers,551,321,58.3,6.6,3642,20,16,183,33.2,43
Cardinals,573,343,59.9,6.4,3687,24,19,177,30.9,36
Redskins,566,354,62.5,7.3,4128,30,11,202,35.7,38
Titans,502,319,63.6,7.3,3678,34,11,192,38.2,39
Buccaneers,540,378,70,7.1,3840,31,11,208,38.5,38
Cowboys,506,330,65.2,7.2,3632,19,8,172,34,31
Niners,549,375,68.3,7.6,4179,21,9,199,36.2,28
Bears,512,322,62.9,7,3593,31,8,182,35.6,35
Bengals,646,415,64.2,6.2,3976,18,21,202,31.3,42
Panthers,650,390,60,5.8,3752,21,24,198,30.5,44
Seahawks,548,333,60.8,6.1,3364,14,14,175,31.9,37
Chiefs,607,349,57.5,6.1,3698,25,22,193,31.8,47
Rams,597,399,66.8,6.8,4065,21,13,192,32.2,41
Bills,602,347,57.6,6.6,3972,30,17,197,32.7,21
Vikings,561,359,64,6.7,3759,24,13,189,33.7,43
