Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Chester Marcol,33,48,68.8,3/4,7/8,13/17,8/16,0/0,0/0,51,6
Roy Gerela,28,41,68.3,9/9,8/10,8/12,3/9,0/0,0/0,49,4
Bobby Howfield,27,37,73,7/8,7/7,11/15,2/7,0/0,0/0,42,1
Horst Muhlmann,27,40,67.5,6/7,6/10,9/12,5/8,0/0,0/0,51,3
David Ray,24,41,58.5,6/7,5/7,9/11,4/13,0/0,0/0,48,0
Garo Yepremian,24,37,64.9,7/7,3/3,7/8,4/11,0/0,0/0,54,3
Don Cockroft,22,27,81.5,5/5,7/8,7/8,2/5,0/0,0/0,57,0
Fred Cox,21,33,63.6,4/4,6/9,7/10,4/9,0/0,0/0,45,1
Toni Fritsch,21,36,58.3,6/6,5/5,3/6,5/13,0/0,0/0,54,0
Pete Gogolak,21,31,67.7,8/8,8/10,0/3,5/8,0/0,0/0,49,1
Jan Stenerud,21,36,58.3,3/3,3/4,9/13,5/9,0/0,0/0,50,3
Tom Dempsey,20,35,57.1,6/6,3/6,7/10,2/9,0/0,0/0,52,0
Errol Mann,20,29,69,3/3,5/5,8/11,3/9,0/0,0/0,51,1
Jim Turner,20,29,69,6/6,2/3,6/8,6/11,0/0,0/0,49,1
Bruce Gossett,18,29,62.1,4/4,4/5,4/5,5/12,0/0,0/0,50,0
George Blanda,17,26,65.4,1/1,5/6,5/7,6/12,0/0,0/0,48,1
Bill Bell,16,30,53.3,3/5,5/6,7/10,1/9,0/0,0/0,41,2
John Leypoldt,16,24,66.7,2/2,4/5,6/7,4/9,0/0,0/0,48,0
Dennis Partee,15,25,60,5/5,3/3,2/6,4/8,0/0,0/0,51,1
Jim Bakken,14,22,63.6,4/5,2/5,2/3,6/9,0/0,0/0,49,1
Curt Knight,14,30,46.7,4/4,0/3,6/11,4/8,0/0,0/0,46,0
Jim O'Brien,13,31,41.9,2/3,6/8,3/8,2/12,0/0,0/0,42,3
Skip Butler,12,19,63.2,3/3,3/5,3/4,3/6,0/0,0/0,49,3
Mac Percival,12,24,50,6/6,3/4,2/4,1/9,0/0,0/0,45,0
Happy Feller,6,11,54.6,1/1,1/2,3/4,1/4,0/0,0/0,46,2
Charlie Gogolak,6,8,75,1/1,2/3,2/2,1/1,0/0,0/0,42,0
Charlie Durkee,3,9,33.3,1/1,0/1,2/3,0/4,0/0,0/0,36,1
Bill McClard,3,6,50,0/0,1/1,0/0,2/4,0/0,0/0,48,1
Toni Linhart,2,5,40,1/1,1/2,0/0,0/2,0/0,0/0,20,0
Mike Walker,2,8,25,0/0,0/0,2/4,0/3,0/0,0/0,36,2
Mark Moseley,1,2,50,0/0,1/1,0/0,0/1,0/0,0/0,20,0
Boris Shlapak,0,8,0,0/0,0/0,0/0,0/5,0/0,0/0,0,1
