Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Jerrel Wilson,44.8,35.9,2372,67,69,2960,0,3,7,13,4,38,328,0,1
Dave Chapple,44.2,42.1,2230,53,70,2344,0,3,15,3,10,22,54,0,0
Bobby Walden,43.8,38.7,2517,67,72,2846,0,1,7,8,10,37,169,0,2
Don Cockroft,43.2,37.8,3061,81,65,3498,0,0,10,4,21,46,357,0,0
John James,42.8,37.9,2310,61,59,2609,0,8,10,3,10,30,239,0,0
Mike Eischeid,42.8,34.4,2134,63,61,2651,0,5,7,10,4,35,317,0,1
Tom Blanchard,42.7,35.2,1655,48,58,2006,0,3,4,9,3,27,171,0,1
David Lee,42.1,36.1,2056,58,60,2400,0,4,3,7,13,29,204,0,1
Dave Lewis,42.1,38,2505,66,60,2777,0,6,12,6,16,26,152,0,0
Ron Widby,41.8,35.5,2309,67,64,2714,0,7,9,9,6,32,225,0,2
Tom McNeill,41.4,36,252,7,51,290,0,0,0,1,0,6,18,0,0
Dan Pastorini,41.2,36.6,3005,83,63,3381,0,7,14,4,26,30,296,1,1
Bobby Joe Green,41.2,37.5,2512,67,58,2758,0,6,5,6,26,24,126,0,0
Julian Fagan,40.8,35.5,2518,72,71,2899,0,7,8,5,14,36,281,0,1
Herman Weaver,40.3,32.9,1413,43,55,1734,0,6,5,0,6,26,321,1,0
Dennis Partee,40.3,34.6,1556,45,65,1813,0,5,7,5,11,17,157,1,0
Bill Bradley,40.2,38,2131,56,60,2250,0,0,8,0,28,20,119,0,0
Billy Van Heusen,40.1,35.6,2139,61,60,2408,0,1,10,1,19,28,249,1,1
Larry Seiple,39.9,36.3,1307,36,54,1437,0,4,7,3,10,12,70,0,0
Jim McCann,39.7,36.4,2332,65,63,2542,0,2,5,7,29,20,70,0,1
Donny Anderson,39.5,37.3,2683,72,61,2847,0,3,10,1,22,36,144,0,0
Steve O'Neal,39.3,33.9,1727,52,57,2006,0,5,11,2,9,23,239,0,1
Spike Jones,38.8,33.7,2695,81,67,3104,0,5,14,4,17,39,329,1,1
Mike Bragg,38.5,37.5,2214,59,62,2273,0,2,8,1,29,19,39,0,0
Marv Bateman,38.2,36.2,1848,51,61,1949,0,4,3,3,26,15,41,0,0
Pat Studstill,38.1,33,2473,76,57,2859,0,7,8,1,24,34,366,1,1
Billy Lothridge,37.5,38.2,153,4,42,150,0,0,1,0,0,3,-3,0,0
Jerry DePoyster,36.9,32.3,1776,58,57,2031,0,6,5,2,11,28,215,0,3
Dick Anderson,36.8,36.8,147,4,45,147,0,0,1,0,1,2,0,0,0
Skip Butler,35,34,102,3,47,105,0,1,0,0,1,1,3,0,0
Roy Gerela,29,9,9,1,29,29,0,0,0,1,0,0,0,0,0
Jim Bakken,26,26,26,1,26,26,0,0,0,0,0,1,0,0,0
