Player,FF,FR,FR TD
Ralph Anderson,0,3,0
Bob Brown,0,1,0
Al Coleman,0,0,0
Dave Costa,0,0,0
Claude Humphrey,0,2,0
Mike Lewis,0,1,0
Bill Malinchak,0,1,0
Joe Owens,0,0,0
Joe Sweet,0,0,0
Mark Washington,0,2,0
Sherman White,0,1,0
