Team,Rsh TD,Rec TD,Tot TD,2-PT
Bills,29,17,47,4
Cowboys,24,25,49,0
Falcons,20,38,61,2
Cardinals,20,28,50,1
Patriots,19,32,51,1
Bengals,17,18,35,0
Raiders,17,29,47,5
Saints,17,38,55,2
Redskins,17,25,43,0
Panthers,16,21,38,3
Titans,16,29,45,0
Eagles,16,16,37,4
Chiefs,15,19,41,2
49ers,15,21,36,2
Dolphins,14,27,45,1
Browns,13,15,29,2
Colts,13,32,46,2
Steelers,13,33,46,3
Seahawks,13,23,36,1
Broncos,11,20,34,1
Packers,11,40,51,2
Ravens,10,20,31,4
Bears,10,19,31,0
Jets,10,16,28,1
Chargers,10,33,46,0
Lions,9,24,36,1
Rams,9,14,23,0
Vikings,9,20,34,1
Texans,8,15,25,0
Jaguars,8,24,34,2
Buccaneers,8,29,41,4
Giants,6,26,34,0
