Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Falcons,23.9,64,1532,2,31,9,99T,1,4
Cardinals,22.1,51,1127,0,27,3,63,0,1
Patriots,21.5,64,1376,1,30,4,100T,2,3
49ers,20.9,42,879,0,20,2,82,2,2
Eagles,20.6,48,987,0,23,3,45,0,0
Browns,20.5,43,880,0,21,1,47,0,1
Bears,20.4,56,1143,1,29,2,97T,0,1
Redskins,20.3,48,973,0,22,4,47,0,2
Lions,20.2,59,1193,1,26,5,89T,2,0
Broncos,20.2,51,1028,0,25,1,64,0,1
Colts,19.6,51,1001,0,25,1,42,0,3
Giants,19.6,56,1098,1,22,2,92T,0,1
Vikings,19.4,45,874,0,24,1,53,0,3
Saints,19.4,42,815,0,17,1,48,0,3
Oilers,19.2,46,885,0,22,1,42,0,2
Dolphins,19,44,838,0,18,1,44,0,3
Cowboys,18.9,37,699,0,17,1,59,0,0
Packers,18.8,54,1017,0,22,1,50,0,0
Bills,18.6,41,761,0,16,0,35,1,1
Chiefs,18.5,39,722,0,14,0,39,0,3
Chargers,18,45,812,0,18,1,62,0,3
Bengals,17.9,59,1058,0,18,1,48,1,1
Seahawks,17.7,50,885,0,19,0,34,0,0
Steelers,17.6,48,847,0,16,0,33,1,1
Buccaneers,17.6,50,881,0,17,0,39,0,2
Jets,17.6,54,950,0,20,1,45,1,4
Raiders,17.3,43,744,0,14,1,41,0,2
Rams,16.7,63,1054,0,21,0,35,0,6
