Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Cowboys,88,5599,27,30.7,60,20.3,0,0,1,0
49ers,87,5367,20,23,66,19.3,0,0,1,0
Bills,84,5180,24,28.6,60,20.2,0,0,0,1
Dolphins,83,5165,17,20.5,65,21.2,0,0,1,0
Saints,81,5178,38,46.9,40,23.1,0,0,3,0
Chiefs,78,4574,12,15.4,64,18.8,1,0,1,0
Vikings,78,4883,26,33.3,50,18.5,0,0,2,0
Chargers,78,4899,23,29.5,54,17.8,0,0,1,0
Oilers,76,4418,10,13.2,63,15.7,2,0,1,0
Redskins,75,4646,21,28,54,19.9,0,0,0,1
Eagles,74,4389,17,23,53,19.4,1,0,3,1
Steelers,72,4410,15,20.8,52,20.2,0,0,5,0
Falcons,71,4278,11,15.5,55,19.2,3,1,1,0
Giants,70,3983,5,7.1,64,18.9,1,0,0,0
Bears,69,3867,11,15.9,50,20.5,3,0,5,0
Rams,69,4044,11,15.9,55,20.5,1,0,2,0
Packers,68,3822,6,8.8,57,15.8,0,0,3,0
Browns,67,3895,14,20.9,51,17.8,2,0,0,0
Bengals,66,4074,15,22.7,46,23.5,1,1,4,2
Broncos,66,4414,52,78.8,13,19.5,1,1,0,0
Lions,64,3929,14,21.9,45,21.1,0,0,5,0
Buccaneers,63,3594,5,7.9,49,25.2,1,1,8,1
Raiders,60,3576,20,33.3,35,19.7,2,0,3,0
Jets,58,3174,12,20.7,33,16.7,2,1,4,0
Cardinals,57,3400,12,21,42,18.3,1,1,2,0
Colts,54,3231,15,27.8,36,17.5,1,0,1,0
Patriots,52,2889,5,9.6,45,16.6,2,0,0,0
Seahawks,45,2709,9,20,36,19,0,0,0,0
