Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Cowboys,12.5,44,550,2,4,2,79T,18,2
Bengals,11.9,24,285,1,3,1,95T,11,1
Eagles,11.8,47,555,1,6,2,87T,15,1
Steelers,11.4,32,364,1,4,2,80T,13,1
Cardinals,11,33,364,0,3,1,65,12,1
Colts,11,25,275,2,2,2,84T,24,1
Bills,10.8,43,464,0,7,1,42,8,2
Broncos,10.4,34,353,0,3,1,47,16,3
Chiefs,10.3,39,402,2,5,2,86T,8,5
Vikings,10.2,33,336,0,3,1,42,18,2
Raiders,9.8,41,402,0,3,1,40,21,3
Browns,9.8,44,429,1,4,1,75T,10,3
49ers,9.7,40,389,1,5,2,48T,12,3
Redskins,9.6,37,355,2,4,2,84,12,6
Lions,9,21,190,1,2,1,58T,9,0
Packers,9,35,315,1,4,2,58T,6,8
Giants,8.9,27,240,0,4,0,39,11,2
Rams,8.8,39,345,2,4,1,61T,11,1
Chargers,8.2,44,359,0,2,0,25,12,2
Jets,7.7,30,232,0,2,0,21,9,3
Bears,7.6,23,176,0,2,0,36,14,3
Seahawks,7.4,38,283,0,0,0,16,27,0
Patriots,7.4,37,274,0,2,1,50,20,2
Falcons,6.8,29,196,0,3,1,45,14,1
Dolphins,6.2,31,191,0,0,0,19,19,6
Buccaneers,6.2,26,160,0,0,0,17,15,1
Oilers,5.9,33,194,0,1,0,20,12,1
Saints,5.1,45,231,0,1,0,34,21,8
