Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,150,51,123,25.2,1034
Bills,0,0,0,0,149,50,97,24.4,1047
Bears,0,0,0,0,116,51.3,164,24.3,1100
Bengals,0,0,0,0,180,58.8,134,24.8,1080
Browns,0,0,0,0,178,65.2,92,18.8,1039
Cowboys,0,0,0,0,202,62.7,93,19.8,1120
Broncos,0,0,0,0,153,58.2,121,23.8,1019
Lions,0,0,0,0,168,56.4,117,26.2,1037
Packers,0,0,0,0,168,59.8,120,26,1009
Oilers,0,0,0,0,164,58.2,96,22.2,971
Colts,0,0,0,0,115,55.8,118,23.1,978
Chiefs,0,0,0,0,177,58,90,22.1,1033
Rams,0,0,0,0,100,56.8,140,25.9,931
Raiders,0,0,0,0,162,60.9,114,22.1,1060
Dolphins,0,0,0,0,242,65.9,118,24.4,1070
Vikings,0,0,0,0,153,54.4,112,25.2,1041
Patriots,0,0,0,0,187,64,104,21.6,1048
Saints,0,0,0,0,139,56.5,129,24.7,1045
Giants,0,0,0,0,198,68.8,97,19.7,1084
Jets,0,0,0,0,176,64.7,118,23.4,1043
Eagles,0,0,0,0,177,53.5,85,22.3,1047
Cardinals,0,0,0,0,201,57.9,128,26.2,1103
Steelers,0,0,0,0,166,69.2,116,20.2,1053
Chargers,0,0,0,0,240,59.8,106,23.2,1154
49ers,0,0,0,0,205,65.7,137,25.7,1057
Seahawks,0,0,0,0,172,60.8,93,18.8,1034
Buccaneers,0,0,0,0,212,63.5,113,23.4,1092
Redskins,0,0,0,0,164,57.3,155,26.4,1119
