Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Chargers,662,401,60.6,7.4,4928,25,21,83,240,36.2,70,14,88,36,285
Eagles,606,331,54.6,6.3,3823,19,17,72.6,177,29.2,41,6,90T,60,463
Cowboys,604,322,53.3,6.6,3995,19,26,66.6,202,33.4,54,9,68,48,389
Chiefs,593,305,51.4,6.5,3869,21,22,68.5,177,29.8,52,8,65,33,301
Bills,588,298,50.7,5.5,3252,18,30,56.3,149,25.3,35,8,70,60,554
Dolphins,572,367,64.2,9,5146,49,18,108.5,242,42.3,80,12,80,14,128
Cardinals,566,347,61.3,8.2,4634,28,16,92,201,35.5,70,14,83T,49,377
Buccaneers,563,334,59.3,6.9,3907,22,23,76.4,212,37.7,39,7,74,45,362
Giants,535,288,53.8,7.6,4066,22,18,78.3,198,37,62,8,65T,55,434
Vikings,533,281,52.7,6.3,3337,18,25,63.8,153,28.7,46,6,70,64,465
Lions,531,298,56.1,7.1,3787,19,22,73.2,169,31.8,49,11,77T,61,486
Packers,506,281,55.5,7.4,3740,30,30,74.2,168,33.2,53,11,79,42,310
Patriots,500,292,58.4,7.4,3685,26,14,87.1,187,37.4,46,5,76,66,454
Seahawks,497,283,56.9,7.6,3751,32,26,80.6,172,34.6,57,11,80T,42,328
Bengals,496,306,61.7,7.4,3659,17,22,77.2,180,36.3,54,7,80,45,358
49ers,496,312,62.9,8.2,4079,32,10,101.9,205,41.3,55,13,80,27,178
Browns,495,273,55.2,7,3490,14,23,67.5,178,36,47,8,64,55,358
Raiders,491,266,54.2,7.6,3718,21,28,69.3,162,33,47,15,92T,54,360
Jets,488,272,55.7,6.8,3341,20,21,72.8,176,36.1,34,4,49T,52,382
Oilers,487,282,57.9,7.4,3610,14,15,78,164,33.7,49,7,76,49,382
Redskins,485,286,59,7,3417,24,13,85.9,164,33.8,36,9,80T,48,341
Falcons,478,294,61.5,7.4,3546,14,20,76.6,150,31.4,42,10,61T,67,496
Saints,476,246,51.7,6.7,3198,21,28,63.3,139,29.2,50,6,74,45,361
Broncos,475,263,55.4,6.6,3116,22,17,76.1,153,32.2,32,10,73,35,257
Steelers,443,240,54.2,7.9,3519,25,25,75.6,166,37.5,50,11,80,35,278
Colts,411,206,50.1,6.2,2543,13,22,57.9,115,28,33,5,74,58,436
Bears,390,226,58,6.9,2695,14,15,75.1,116,29.7,40,7,61,36,232
Rams,358,176,49.2,6.6,2382,16,17,65.9,100,27.9,37,10,68,32,240
