Team,Rsh TD,Rec TD,Tot TD,2-PT
Bears,22,14,37,0
Cardinals,21,28,50,0
49ers,21,32,56,0
Redskins,20,24,49,0
Raiders,19,21,43,0
Bengals,18,17,39,0
Packers,18,30,51,0
Dolphins,18,49,69,0
Chargers,18,25,48,0
Jets,17,20,38,0
Buccaneers,17,22,40,0
Falcons,16,14,31,0
Rams,16,16,38,0
Patriots,15,26,42,0
Lions,13,19,32,0
Oilers,13,14,27,0
Colts,13,13,28,0
Steelers,13,25,43,0
Cowboys,12,19,33,0
Broncos,12,22,38,0
Chiefs,12,21,35,0
Giants,12,22,34,0
Browns,10,14,25,0
Vikings,10,18,29,0
Seahawks,10,32,50,0
Bills,9,18,29,0
Saints,9,21,33,0
Eagles,6,19,27,0
