Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Panthers,52.4,262,5,53.2,69,266,1,1,1,0,1,2,4,0,0
Raiders,49,49,1,49,49,49,0,0,0,0,1,0,0,0,0
Buccaneers,48.2,289,6,54.5,63,327,2,0,1,1,0,4,18,0,0
Giants,47.7,143,3,53.3,62,160,0,0,1,0,0,2,17,0,0
Seahawks,47.2,189,4,59,73,236,0,1,0,2,0,1,7,0,0
Chiefs,46.2,231,5,49.4,58,247,3,0,1,0,3,1,16,0,0
Falcons,46.1,323,7,48.1,60,337,3,2,1,0,1,3,14,0,0
Vikings,45.6,228,5,51.4,58,257,0,1,0,0,0,4,29,0,0
Ravens,45,225,5,49.8,67,249,3,0,0,0,3,2,24,0,0
Cardinals,45,225,5,47,56,235,2,1,0,0,1,3,10,0,0
Eagles,44,176,4,49.2,54,197,0,0,0,0,1,3,21,0,0
49ers,44,132,3,44.7,56,134,3,1,1,0,0,1,2,0,0
Browns,43.9,307,7,47.3,66,331,3,3,0,0,1,3,24,0,0
Jets,42.5,170,4,43.5,54,174,2,1,0,0,2,1,4,0,0
Chargers,41.7,125,3,48.3,62,145,0,0,0,1,2,0,0,0,0
Lions,41.2,206,5,44.4,61,222,3,0,1,0,1,3,16,0,0
Saints,40.8,204,5,48.2,52,241,1,1,0,0,0,4,37,0,0
Jaguars,40.6,203,5,44.6,52,223,2,0,1,0,2,2,20,0,0
Commanders,40.3,242,6,44.3,59,266,3,0,1,0,1,4,24,0,0
Broncos,40,80,2,40,43,80,1,1,1,0,0,0,0,0,0
Cowboys,39.7,119,3,48.7,56,146,1,0,1,1,0,1,7,0,0
Bears,39.5,158,4,53,54,212,1,1,0,0,0,3,54,0,0
Texans,39,156,4,44,48,176,0,2,0,1,1,0,0,0,0
Packers,38.6,193,5,49.8,68,249,1,0,0,2,1,2,16,0,0
Bengals,37.4,374,10,40.9,54,409,2,2,0,1,4,3,15,0,0
Steelers,35.5,213,6,42.3,57,254,1,2,0,0,1,3,41,0,0
Patriots,35.2,176,5,45.2,65,226,3,1,0,1,1,2,30,0,0
Dolphins,35,35,1,38,38,38,0,0,0,0,0,1,3,0,0
Titans,33.7,101,3,35.7,62,107,1,1,0,0,0,2,6,0,0
Colts,30,150,5,41.6,46,208,0,2,1,0,0,2,58,0,0
Rams,27,27,1,45,45,45,0,0,0,0,0,1,18,0,0
Bills,25,75,3,47,53,141,1,0,0,0,1,2,66,1,0
