Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Titans,5,100,0,0,0,0
Eagles,4,100,1,50,0,0
Bills,3,100,1,100,0,0
Browns,3,100,1,100,0,0
Texans,3,100,0,0,0,0
Rams,3,60,3,100,0,0
Dolphins,3,100,3,75,0,0
Saints,3,100,1,100,0,0
Jets,3,100,1,100,0,1
Cardinals,3,100,1,100,0,0
49ers,3,100,3,100,0,0
Bears,2,100,0,0,0,0
Cowboys,2,100,4,80,0,0
Chiefs,2,100,2,100,0,0
Chargers,2,100,4,100,0,0
Seahawks,2,66.7,1,100,0,0
Buccaneers,2,100,2,100,0,0
Commanders,2,100,2,100,0,0
Falcons,1,100,3,100,0,0
Ravens,1,100,2,100,0,0
Panthers,1,100,1,100,0,0
Bengals,1,50,0,0,0,0
Broncos,1,50,1,50,0,0
Packers,1,100,5,100,0,0
Jaguars,1,100,4,100,0,0
Raiders,1,100,2,100,0,0
Vikings,1,100,2,100,0,0
Lions,0,0,3,100,0,0
Colts,0,0,3,100,0,0
Patriots,0,0,2,100,0,0
Giants,0,0,0,0,0,0
Steelers,0,0,1,100,0,0
