Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Jets,33,2,66,1,1,1,65T,1,0
Jaguars,29,2,58,0,1,1,48,0,0
Packers,18,3,54,0,1,0,35,0,0
Seahawks,18,1,18,0,0,0,18,0,0
Lions,16,1,16,0,0,0,16,3,0
Eagles,15,2,30,0,1,0,25,1,0
49ers,13.7,3,41,0,0,0,19,1,0
Texans,12,2,24,0,0,0,14,3,0
Colts,10,2,20,0,0,0,16,2,0
Titans,9.2,4,37,0,0,0,14,0,0
Cowboys,8.5,2,17,0,0,0,10,0,0
Bears,8,2,16,0,0,0,8,1,0
Bengals,8,3,24,0,0,0,15,1,0
Buccaneers,7.2,4,29,0,0,0,16,0,0
Rams,7,1,7,0,0,0,7,0,0
Patriots,7,3,21,0,1,0,21,1,1
Giants,7,1,7,0,0,0,7,0,0
Cardinals,6,4,24,0,0,0,13,1,0
Chiefs,5.3,3,16,0,0,0,9,1,0
Browns,5,3,15,0,0,0,6,4,0
Panthers,4.7,3,14,0,0,0,13,1,0
Vikings,4.5,4,18,0,0,0,7,0,0
Bills,4,1,4,0,0,0,4,2,0
Commanders,3.3,3,10,0,0,0,5,1,0
Saints,3,2,6,0,0,0,6,0,0
Chargers,3,1,3,0,0,0,3,0,0
Falcons,2,2,4,0,0,0,4,1,0
Steelers,2,1,2,0,0,0,2,0,0
