Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Cowboys,8,520,8,100,0,0,0,0,0,0
Rams,7,435,5,71.4,2,25,0,0,0,0
Dolphins,7,455,7,100,0,0,0,0,0,0
Eagles,7,449,5,71.4,2,31,0,0,0,0
Chargers,7,455,7,100,0,0,0,0,0,0
49ers,7,451,4,57.1,3,30.3,0,0,0,0
Browns,6,383,4,66.7,2,22.5,0,0,0,0
Packers,6,391,2,33.3,4,21,0,0,0,0
Titans,6,384,1,16.7,5,22,0,0,0,0
Jaguars,6,385,5,83.3,1,19,0,0,0,0
Jets,6,390,6,100,0,0,0,0,0,0
Falcons,5,320,5,100,0,0,0,0,0,0
Ravens,5,325,5,100,0,0,0,0,0,0
Bills,5,323,3,60,2,23,0,0,0,0
Bears,5,276,2,40,2,27.5,1,0,0,0
Chiefs,5,325,5,100,0,0,0,0,0,0
Saints,5,325,5,100,0,0,0,0,0,0
Cardinals,5,327,4,80,1,21,0,0,0,0
Buccaneers,5,323,4,80,1,15,0,0,0,0
Broncos,4,204,3,75,0,0,1,0,0,0
Lions,4,260,4,100,0,0,0,0,0,0
Colts,4,264,3,75,1,20,0,0,0,0
Raiders,4,280,2,50,2,27.5,0,0,0,0
Vikings,4,265,3,75,1,23,0,0,0,0
Patriots,4,244,3,75,1,11,0,0,0,0
Seahawks,4,240,2,50,1,8,0,0,0,0
Commanders,4,260,4,100,0,0,0,0,0,0
Panthers,3,195,3,100,0,0,0,0,0,0
Texans,3,197,2,66.7,1,18,0,0,0,0
Bengals,2,130,2,100,0,0,0,0,0,0
Steelers,2,130,2,100,0,0,0,0,0,0
Giants,1,65,1,100,0,0,0,0,0,0
