Team,INT,INT TD,INT Yds,Lng
Patriots,25,3,353,69
Steelers,20,1,235,96T
Packers,17,0,177,39
Vikings,17,1,95,21T
Chiefs,16,1,141,46T
Seahawks,16,2,161,55
Colts,15,1,167,80T
Bills,14,0,59,49
Panthers,14,0,141,37
Browns,14,1,219,61T
Titans,14,1,158,38T
Ravens,13,2,259,89T
Rams,13,2,137,32
Dolphins,13,1,190,35T
Saints,13,2,140,55
Redskins,13,0,106,33
Falcons,12,1,130,27T
Texans,12,2,302,86
Jets,12,3,138,61
49ers,12,3,286,49
Buccaneers,12,2,201,70
Bengals,11,0,181,34
Eagles,11,1,159,51T
Chargers,11,0,74,37
Bears,10,1,157,59
Broncos,10,0,87,24
Jaguars,10,1,132,35T
Giants,10,1,171,62T
Raiders,9,2,214,59
Cowboys,7,0,83,29
Lions,7,0,76,55
Cardinals,7,0,82,48
