Team,INT,INT TD,INT Yds,Lng
Bengals,34,2,308,42
Packers,26,3,524,90
Rams,26,4,390,92
Broncos,23,1,241,69T
Patriots,23,2,255,46
Steelers,23,3,334,47
Panthers,22,0,277,42
Vikings,22,1,206,41T
Giants,22,3,341,35
Chargers,22,1,336,83T
Redskins,21,1,214,68T
Dolphins,20,3,475,91
49ers,20,1,176,55T
Cowboys,19,0,168,24
Eagles,19,1,303,90T
Bears,17,1,107,29T
Chiefs,17,0,171,34
Raiders,17,2,353,66
Buccaneers,17,0,139,26
Ravens,15,1,147,45T
Bills,14,0,113,31
Seahawks,14,1,256,79T
Colts,13,4,276,68
Jaguars,13,0,114,27
Oilers,12,1,162,53
Saints,12,0,114,33
Lions,11,2,169,98
Jets,11,2,165,100T
Cardinals,11,1,122,65T
Falcons,6,0,41,21
