Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Cardinals,418,4875,11.7,31,54,13,79,231,55.3,6
Saints,413,5069,12.3,34,66,16,84,232,56.2,6
Colts,393,4180,10.6,27,42,7,67,220,56,4
Broncos,386,4545,11.8,25,55,7,93,223,57.8,5
Texans,367,4474,12.2,21,60,12,65,210,57.2,5
Eagles,362,4060,11.2,23,52,11,90,204,56.4,4
Buccaneers,355,3788,10.7,18,42,5,71,184,51.8,5
Jets,347,3516,10.1,22,40,7,56T,186,53.6,5
Packers,343,4044,11.8,28,48,16,71,182,53.1,2
Patriots,339,3790,11.2,21,38,6,76T,186,54.9,5
Jaguars,335,3620,10.8,15,42,1,41,182,54.3,6
Dolphins,330,3761,11.4,20,39,8,80,184,55.8,6
Cowboys,328,3988,12.2,29,54,12,75,170,51.8,7
Redskins,318,3291,10.4,14,34,3,67T,165,51.9,5
Chargers,312,4009,12.8,34,48,12,67,191,61.2,4
Chiefs,310,3358,10.8,23,35,5,75T,161,51.9,1
Bills,309,3302,10.7,14,38,6,87,167,54,7
Niners,309,3724,12,21,55,6,63T,176,57,5
Bears,304,3229,10.6,20,35,3,65,153,50.3,5
Bengals,303,2677,8.8,11,21,2,79T,145,47.8,2
Steelers,303,3607,11.9,19,39,8,65T,179,59.1,7
Giants,298,3353,11.2,23,34,4,48,176,59.1,2
Rams,292,3268,11.2,11,41,8,80,140,48,5
Lions,281,3299,11.7,18,43,7,96,143,50.9,8
Vikings,267,3217,12,22,40,12,99,150,56.2,5
Falcons,265,3440,13,16,45,9,70,157,59.2,3
Titans,265,2902,11,13,36,5,56T,143,54,4
Seahawks,262,2831,10.8,18,29,5,90,142,54.2,4
Ravens,261,3085,11.8,16,40,11,70,147,56.3,5
Panthers,246,3288,13.4,15,45,9,65,152,61.8,4
Browns,238,2537,10.7,11,26,6,70T,127,53.4,4
Raiders,222,2639,11.9,13,39,5,84,123,55.4,0
