Team,Rsh TD,Rec TD,Tot TD,2-PT
Panthers,30,15,45,1
Titans,24,13,41,0
Falcons,23,16,43,0
Patriots,21,21,43,0
Ravens,20,16,41,0
Saints,20,34,57,0
Jets,20,22,46,1
Giants,19,23,45,0
Dolphins,18,20,40,0
Jaguars,17,15,34,0
Bills,16,14,35,0
Texans,16,21,40,0
Steelers,16,19,37,0
Bears,15,20,40,0
Broncos,15,25,40,1
Vikings,15,22,39,0
Eagles,15,23,42,0
Cardinals,14,31,50,1
Colts,13,27,43,1
Chargers,13,34,50,0
Buccaneers,13,18,37,0
Cowboys,12,29,43,0
Redskins,12,14,27,0
Packers,11,28,47,0
Lions,10,18,28,0
Niners,10,21,36,0
Seahawks,10,18,31,0
Chiefs,9,23,34,0
Raiders,9,13,27,0
Rams,8,11,19,0
Bengals,6,11,18,0
Browns,6,11,20,0
