Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Ravens,211,72,20,10,82,23.2,974
Jaguars,212,80,12,3,89,20.5,970
Bills,203,74,11,6,111,25.2,968
Cowboys,201,85,14,6,89,22.2,981
Colts,200,82,15,7,87,21,995
Jets,213,72,14,9,104,23.6,1061
Browns,210,75,20,13,130,28.3,1122
Lions,186,69,17,9,88,21.8,942
Texans,227,91,20,12,76,19.7,1022
Seahawks,183,64,13,6,91,24.9,955
Broncos,211,82,11,6,85,19.8,1022
Giants,206,87,17,14,103,23.2,1034
Redskins,196,86,13,5,109,26.4,996
Titans,205,75,20,11,98,22.8,1001
Eagles,201,71,19,11,71,21.4,1002
Packers,212,79,18,12,100,22.4,1017
Vikings,190,58,19,9,107,24.3,993
Falcons,195,95,13,10,115,28.1,1031
Patriots,197,76,16,6,93,25.3,1002
Bears,219,75,28,16,67,19.8,1004
Cardinals,205,78,13,8,139,27.2,1065
Steelers,197,72,13,7,84,22.8,987
Raiders,201,93,12,8,108,22.5,973
49ers,216,87,17,10,104,23.4,1023
Rams,188,70,15,9,101,26.2,960
Bengals,223,109,17,11,125,26.8,1084
Buccaneers,181,73,14,7,122,28.6,998
Dolphins,196,84,15,6,116,23.9,1024
Panthers,183,73,17,10,110,28.6,948
Saints,189,78,29,14,72,20.2,978
Chargers,202,79,20,11,101,25.6,981
Chiefs,193,80,27,18,129,30.4,1109
